year month land ocean net foss
2015 1 -0.2380124 -0.5804706 -0.818483 0.007197368
2015 2 -0.09138548 -0.4567554 -0.5481409 0.007698465
2015 3 0.006735721 -0.2453932 -0.2386574 0.00753342
2015 4 0.1378577 -0.2253763 -0.08751855 0.007574838
2015 5 0.1680101 -0.3276479 -0.1596378 0.007640349
2015 6 0.1727862 -0.6086504 -0.4358642 0.007911308
2015 7 0.1889409 -0.6251811 -0.4362402 0.007931016
2015 8 0.1623052 -0.5406567 -0.3783514 0.007914938
2015 9 0.04023961 -0.6850834 -0.6448438 0.007926407
2015 10 -0.1061885 -0.562186 -0.6683745 0.007687529
2015 11 -0.2926219 -1.017929 -1.31055 0.007793063
2015 12 -0.3053133 -0.9094407 -1.214754 0.007658812
2016 1 -0.2149725 -0.9398178 -1.15479 0.007183963
2016 2 -0.05708635 -0.9867922 -1.043879 0.007458632
2016 3 0.02135833 -0.5226573 -0.501299 0.007546891
2016 4 0.1421036 -0.3405876 -0.1984841 0.007556512
2016 5 0.1874251 -0.3630604 -0.1756353 0.007647655
2016 6 0.2291125 -0.2984737 -0.06936118 0.007906728
2016 7 0.1917818 -0.5381084 -0.3463266 0.007896701
2016 8 0.1241933 -0.7073981 -0.5832048 0.007936622
2016 9 0.05602705 -0.6718561 -0.6158291 0.007919765
2016 10 -0.0916706 -0.9059076 -0.9975782 0.007671128
2016 11 -0.2278617 -1.006091 -1.233952 0.007805532
2016 12 -0.2565888 -1.032544 -1.289133 0.007642531
2017 1 -0.2592977 -0.9373123 -1.19661 0.007161186
2017 2 -0.06501367 -0.7324796 -0.7974932 0.007660753
2017 3 0.01732904 -0.6065504 -0.5892214 0.007507482
2017 4 0.1755566 -0.4076954 -0.2321388 0.007508606
2017 5 0.2411344 -0.3735667 -0.1324324 0.007625878
2017 6 0.2123022 -0.522673 -0.3103708 0.007866995
2017 7 0.1891772 -0.4719997 -0.2828225 0.007862321
2017 8 0.1067547 -0.5624643 -0.4557095 0.007900204
2017 9 0.02726685 -0.6473692 -0.6201024 0.007868456
2017 10 -0.08947106 -0.8500248 -0.9394958 0.007645181
2017 11 -0.2100213 -1.134684 -1.344706 0.007767406
2017 12 -0.2127066 -1.11112 -1.323827 0.007591334
2018 1 -0.1772852 -0.7523328 -0.9296181 0.00711818
2018 2 -0.04170586 -0.7118582 -0.7535641 0.007600518
2018 3 0.02895584 -0.5209043 -0.4919484 0.007436702
2018 4 0.1555841 -0.5266547 -0.3710706 0.007458929
2018 5 0.2067818 -0.6100846 -0.4033028 0.007565897
2018 6 0.1911754 -0.6786373 -0.4874618 0.007791045
2018 7 0.1706848 -0.6647228 -0.494038 0.007809877
2018 8 0.1231703 -0.5616214 -0.4384511 0.007833913
2018 9 0.0481086 -0.580466 -0.5323574 0.007793364
2018 10 -0.06312799 -0.6937548 -0.7568828 0.007598292
2018 11 -0.2000249 -0.9404455 -1.14047 0.007702633
2018 12 -0.3019724 -1.303562 -1.605535 0.00753203
2019 1 -0.298755 -1.068427 -1.367182 0.007191666
2019 2 -0.1263521 -0.8839485 -1.010301 0.007683631
2019 3 0.02600025 -0.6350868 -0.6090865 0.007498527
2019 4 0.2187853 -0.7136196 -0.4948342 0.007553987
2019 5 0.2732404 -0.7746965 -0.5014561 0.007648115
2019 6 0.1983421 -0.6832851 -0.4849431 0.007867876
2019 7 0.147948 -0.8553521 -0.7074041 0.007916437
2019 8 0.1012513 -0.8403954 -0.739144 0.007908436
2019 9 0.03998333 -0.636393 -0.5964097 0.007888585
2019 10 -0.0883931 -0.7778724 -0.8662655 0.007678748
2019 11 -0.276639 -1.444188 -1.720827 0.007772733
2019 12 -0.3345006 -1.519145 -1.853646 0.007621308
2020 1 -0.2523854 -1.283915 -1.536301 0.007201528
2020 2 -0.05492684 -0.9570801 -1.012007 0.007499242
2020 3 0.03429989 -0.9163973 -0.8820975 0.006644413
2020 4 0.1830155 -0.9848439 -0.8018284 0.005789635
2020 5 0.2349066 -0.834997 -0.6000904 0.005990527
2020 6 0.2063777 -0.8538361 -0.6474584 0.006817772
2020 7 0.1843661 -0.9484907 -0.7641246 0.007004017
2020 8 0.1304745 -0.7808063 -0.6503318 0.006927685
2020 9 0.03174526 -0.7287393 -0.696994 0.007121475
2020 10 -0.08432565 -0.5571623 -0.6414879 0.006800084
2020 11 -0.2357521 -1.000107 -1.235859 0.006758659
2020 12 -0.2949867 -1.105546 -1.400533 0.006767619
