lat prs camp flt x yday
5 350 21 1 -0.3604019 210
15 350 21 1 -0.4690944 210
25 350 21 1 -0.07826609 210
35 350 21 1 -0.4890029 210
5 450 21 1 -0.3815688 210
15 450 21 1 -0.4022385 210
25 450 21 1 0.01236789 210
5 550 21 1 -0.4172154 210
15 550 21 1 -0.4525929 210
25 550 21 1 0.06991606 210
5 650 21 1 -0.5474692 210
15 650 21 1 -0.4739372 210
25 650 21 1 -0.03899995 210
5 750 21 1 -0.6544438 210
15 750 21 1 -0.4334585 210
5 850 21 1 -0.687821 210
15 850 21 1 -0.4329811 210
25 850 21 1 -0.1865486 210
5 950 21 1 -0.6724613 210
15 950 21 1 -0.5318039 210
25 950 21 1 -0.4700518 210
5 350 22 1 -1.613635 25
15 350 22 1 -0.6722143 25.64151
25 350 22 1 0.4866618 25.73333
35 350 22 1 1.226863 25.14894
5 450 22 1 -1.278555 25
15 450 22 1 -0.9771575 25.5
25 450 22 1 -0.1766815 26
35 450 22 1 2.347785 26
5 550 22 1 -1.070517 25
15 550 22 1 -0.7493939 25.51852
25 550 22 1 0.3790483 26
35 550 22 1 3.17493 26
5 650 22 1 -0.8113187 25
15 650 22 1 0.07860161 25.5
25 650 22 1 1.307149 26
35 650 22 1 3.834984 26
5 750 22 1 -0.8508659 25
15 750 22 1 1.063793 25.71429
25 750 22 1 2.582553 26
35 750 22 1 4.646316 26
5 850 22 1 -0.7720007 25
15 850 22 1 2.202495 26
25 850 22 1 3.807699 26
35 850 22 1 5.875357 26
5 950 22 1 -1.020484 25
15 950 22 1 2.763158 26
25 950 22 1 4.45229 26
-5 350 23 1 -2.31083 270
5 350 23 1 -2.621575 270
15 350 23 1 -2.949724 270
25 350 23 1 -2.822063 270
35 350 23 1 -3.342987 270.2581
-5 450 23 1 -2.391362 270
5 450 23 1 -2.578325 270
15 450 23 1 -3.107434 270
25 450 23 1 -2.922936 270
35 450 23 1 -3.53476 270.4923
-5 550 23 1 -2.337543 270
5 550 23 1 -2.499279 270
15 550 23 1 -3.274785 270
25 550 23 1 -3.232927 270
35 550 23 1 -3.879208 270.4688
5 650 23 1 -2.433487 270
15 650 23 1 -3.434164 270
25 650 23 1 -3.507503 270
35 650 23 1 -3.9383 270.4324
5 750 23 1 -2.242925 270
15 750 23 1 -3.827388 270
25 750 23 1 -3.910217 270
35 750 23 1 -3.574658 270.6154
5 850 23 1 -1.687443 270
15 850 23 1 -4.404273 270
25 850 23 1 -4.589517 270
35 850 23 1 -3.352965 270.66
5 950 23 1 -1.070021 270
15 950 23 1 -4.766929 270
25 950 23 1 -4.763345 270
35 950 23 1 -2.063244 270.9
5 350 24 1 0.7870997 113
15 350 24 1 1.580305 113
25 350 24 1 2.134375 113
35 350 24 1 2.891255 113
5 450 24 1 0.5946583 113
15 450 24 1 1.884816 113
25 450 24 1 2.370161 113
35 450 24 1 3.547811 113
5 550 24 1 0.5514765 113
15 550 24 1 1.762618 113
25 550 24 1 2.590393 113
35 550 24 1 3.995953 113.3462
5 650 24 1 0.5336949 113
15 650 24 1 1.816374 113
25 650 24 1 2.396287 113
35 650 24 1 4.034205 113.4667
5 750 24 1 0.9424102 113
15 750 24 1 2.337013 113
25 750 24 1 2.042281 113
5 850 24 1 0.6352588 113
15 850 24 1 2.829195 113
25 850 24 1 2.066808 113
5 950 24 1 0.09658669 113
15 950 24 1 3.294341 113
25 950 24 1 3.274864 113
35 350 21 2 -0.2951889 213
45 350 21 2 -0.7290485 213
65 350 21 2 -6.751669 213.1282
75 350 21 2 -7.811872 213
65 450 21 2 -5.840683 213.7614
75 450 21 2 -8.260659 213
65 550 21 2 -7.004734 213
75 550 21 2 -8.38325 213
65 650 21 2 -7.825842 213
75 650 21 2 -8.273327 213
75 750 21 2 -8.402325 213
75 850 21 2 -8.731905 213
75 950 21 2 -8.835699 213
35 350 22 2 0.7934053 28
45 350 22 2 2.264697 28
55 350 22 2 2.741501 28
65 350 22 2 2.73618 29
75 350 22 2 2.177892 29
35 450 22 2 1.110901 28
45 450 22 2 2.890661 28
55 450 22 2 4.334913 28
65 450 22 2 4.035355 29
75 450 22 2 4.27116 29
35 550 22 2 1.631557 28
45 550 22 2 2.947938 28
55 550 22 2 5.014656 28
65 550 22 2 4.437087 29
75 550 22 2 4.819042 29
35 650 22 2 1.945194 28
45 650 22 2 3.090079 28
55 650 22 2 5.180026 28
65 650 22 2 4.551192 29
75 650 22 2 5.339317 29
35 750 22 2 2.237827 28
45 750 22 2 3.59128 28
55 750 22 2 5.234174 28
65 750 22 2 4.817528 29
75 750 22 2 5.446458 29
35 850 22 2 2.724619 28
45 850 22 2 4.042588 28
55 850 22 2 5.276892 28
65 850 22 2 5.272679 29
75 850 22 2 5.576695 29
35 950 22 2 4.366316 28
45 950 22 2 4.804019 28
55 950 22 2 5.325462 28
65 950 22 2 6.263369 29
75 950 22 2 6.613998 29
35 350 23 2 -3.362652 273
45 350 23 2 -3.232519 273
55 350 23 2 -3.658727 273
65 350 23 2 -3.455992 274
75 350 23 2 -3.41207 273.5581
35 450 23 2 -3.263654 273
45 450 23 2 -3.20431 273
55 450 23 2 -3.642757 273
65 450 23 2 -3.440668 274
75 450 23 2 -3.310264 273.5455
35 550 23 2 -3.229297 273
45 550 23 2 -3.300721 273
55 550 23 2 -3.645076 273
65 550 23 2 -3.425636 274
75 550 23 2 -3.128631 273.8421
35 650 23 2 -3.34232 273
45 650 23 2 -3.442016 273
55 650 23 2 -3.627492 273
65 650 23 2 -3.251219 274
75 650 23 2 -3.009241 274
35 750 23 2 -3.618875 273
45 750 23 2 -3.581541 273
55 750 23 2 -3.506681 273
65 750 23 2 -3.147605 274
75 750 23 2 -3.192785 274
35 850 23 2 -3.804041 273
45 850 23 2 -3.791515 273
55 850 23 2 -3.679957 273
75 850 23 2 -3.333658 274
35 950 23 2 -3.588532 273
45 950 23 2 -3.519743 273
55 950 23 2 -3.580825 273
75 950 23 2 -3.193987 274
35 350 24 2 4.096831 116
45 350 24 2 4.240308 116
55 350 24 2 4.971948 116
65 350 24 2 5.240789 117
75 350 24 2 5.067729 116.36
35 450 24 2 4.29275 116
45 450 24 2 4.610831 116
55 450 24 2 5.993177 116
65 450 24 2 6.619878 117
75 450 24 2 6.69592 116.4762
35 550 24 2 4.512656 116
45 550 24 2 4.783369 116
55 550 24 2 6.173938 116
65 550 24 2 7.333522 117
75 550 24 2 6.928222 116.5179
35 650 24 2 4.503425 116
45 650 24 2 5.041851 116
55 650 24 2 6.322702 116
65 650 24 2 7.530572 117
75 650 24 2 7.340866 116.4921
35 750 24 2 4.95876 116
45 750 24 2 5.517483 116
55 750 24 2 6.768855 116
65 750 24 2 7.59212 117
75 750 24 2 7.611934 116.5172
35 850 24 2 5.325625 116
45 850 24 2 5.68722 116
55 850 24 2 7.228383 116
65 850 24 2 7.579916 117
75 850 24 2 7.71382 116.4468
35 950 24 2 5.259889 116
45 950 24 2 5.431595 116
55 950 24 2 7.495898 116
65 950 24 2 7.438327 117
75 950 24 2 8.024903 116.6042
25 350 21 3 -1.133896 216
35 350 21 3 -1.21515 215.2836
45 350 21 3 -3.66683 215
55 350 21 3 -5.126915 215
65 350 21 3 -7.184903 215
25 450 21 3 -0.8561979 216
35 450 21 3 -0.9156724 215.3061
45 450 21 3 -3.789697 215
55 450 21 3 -4.60647 215
65 450 21 3 -8.54432 215
25 550 21 3 -0.8948756 216
35 550 21 3 -1.15947 215.4583
45 550 21 3 -3.232011 215
55 550 21 3 -4.686659 215
65 550 21 3 -9.001461 215
25 650 21 3 -0.6607083 216
35 650 21 3 -1.552591 215.2836
45 650 21 3 -2.41325 215
55 650 21 3 -4.796558 215
65 650 21 3 -8.275414 215
25 750 21 3 -0.7639045 216
35 750 21 3 -2.590159 215.5333
45 750 21 3 -2.166407 215
55 750 21 3 -4.783594 215
65 750 21 3 -7.800449 215
35 850 21 3 -3.162026 215.4884
45 850 21 3 -2.136184 215
55 850 21 3 -4.455816 215
65 850 21 3 -8.040438 215
