year month land ocean net foss
2015 1 -0.09611659 -0.02148747 -0.1176041 0.5447165
2015 2 0.1437199 -0.1143885 0.02933136 0.5670579
2015 3 0.7240966 -0.1702433 0.5538533 0.5561166
2015 4 1.342949 -0.08695934 1.25599 0.548867
2015 5 1.617435 -0.02417557 1.593259 0.5436138
2015 6 1.170614 0.1456406 1.316255 0.5472974
2015 7 0.33382 0.281099 0.614919 0.5358014
2015 8 -1.110672 0.3291317 -0.7815403 0.5288515
2015 9 -1.840023 0.2361181 -1.603905 0.5411927
2015 10 -1.933091 0.09874703 -1.834344 0.5421806
2015 11 0.09810871 -0.03565759 0.06245112 0.5596301
2015 12 0.02438529 -0.2052434 -0.1808581 0.5705133
2016 1 0.5670067 -0.3068194 0.2601873 0.5537684
2016 2 0.5383221 -0.3709925 0.1673296 0.5597474
2016 3 1.884057 -0.436427 1.44763 0.5674648
2016 4 2.239008 -0.3531218 1.885887 0.5579864
2016 5 2.087104 -0.09087897 1.996225 0.5551306
2016 6 1.360666 0.1467975 1.507464 0.5575963
2016 7 0.03664503 0.3487562 0.3854013 0.5438884
2016 8 -1.089373 0.3884978 -0.7008757 0.5407431
2016 9 -2.305935 0.2158993 -2.090036 0.5510838
2016 10 -1.648141 0.07265397 -1.575487 0.5516813
2016 11 -0.2078027 -0.06245035 -0.270253 0.5712679
2016 12 -0.1760554 -0.2468464 -0.4229017 0.5798219
2017 1 -0.2588138 -0.3069793 -0.5657931 0.5668228
2017 2 -0.03751701 -0.2999561 -0.3374731 0.5898016
2017 3 0.6917443 -0.3665047 0.3252396 0.5792375
2017 4 1.197232 -0.273422 0.9238104 0.5689317
2017 5 1.137372 -0.04471866 1.092653 0.5678913
2017 6 1.042733 0.1323884 1.175121 0.5689029
2017 7 -0.4967103 0.2116925 -0.2850178 0.5552359
2017 8 -0.7162612 0.1994481 -0.5168131 0.5517167
2017 9 -2.249667 0.09631867 -2.153348 0.5614518
2017 10 -2.074384 0.04448773 -2.029897 0.5642039
2017 11 -0.0915861 -0.01979978 -0.1113859 0.5832189
2017 12 -0.3017934 -0.1714711 -0.4732645 0.5909854
2018 1 -0.2506068 -0.1908098 -0.4414165 0.5934134
2018 2 0.5530533 -0.1684533 0.3846 0.6162129
2018 3 0.6152208 -0.2234899 0.3917309 0.6043043
2018 4 0.5855228 -0.2225232 0.3629995 0.5958601
2018 5 0.6839339 -0.1073112 0.5766228 0.593593
2018 6 1.20698 0.01999898 1.226978 0.5935997
2018 7 -0.06547118 0.07633151 0.01086033 0.5812926
2018 8 -1.195837 0.04684599 -1.148991 0.5762592
2018 9 -2.692641 0.01413914 -2.678502 0.5860612
2018 10 -1.721395 -0.005556964 -1.726952 0.5909647
2018 11 0.02282787 -0.08734413 -0.06451626 0.6097748
2018 12 0.1193232 -0.2146913 -0.09536809 0.6187322
2019 1 0.1485326 -0.3359036 -0.1873709 0.6022537
2019 2 0.2360807 -0.3969314 -0.1608507 0.6253212
2019 3 0.5296657 -0.4041321 0.1255336 0.6121805
2019 4 1.460241 -0.2953014 1.16494 0.6060384
2019 5 2.254359 -0.1035039 2.150855 0.6021953
2019 6 1.371862 0.09148591 1.463348 0.6018163
2019 7 -0.6769096 0.2397362 -0.4371735 0.5913533
2019 8 -1.767804 0.2892315 -1.478573 0.5841715
2019 9 -2.47376 0.2164283 -2.257332 0.5963301
2019 10 -1.591855 0.1024919 -1.489363 0.6001357
2019 11 -0.7123106 -0.01643181 -0.7287424 0.6181355
2019 12 -0.2670454 -0.1692813 -0.4363267 0.6296281
2020 1 0.2685822 -0.2454079 0.02317425 0.6077628
2020 2 0.399556 -0.3490666 0.05048942 0.620611
2020 3 0.7343286 -0.3854406 0.348888 0.5338069
2020 4 1.613776 -0.2840018 1.329775 0.4308485
2020 5 1.715231 -0.1134727 1.601758 0.4685926
2020 6 0.6138579 0.04569693 0.6595549 0.5245006
2020 7 -0.866711 0.1775824 -0.6891286 0.5418579
2020 8 -1.882131 0.2923617 -1.589769 0.5348631
2020 9 -2.719874 0.2736605 -2.446214 0.5739472
2020 10 -2.307231 0.1604653 -2.146766 0.5786277
2020 11 -0.4395734 0.03858924 -0.4009841 0.5772216
2020 12 -0.4888157 -0.1035943 -0.59241 0.5873366
