year month land ocean net foss
2015 1 -1.343359 -0.03449442 -1.377854 0.1751815
2015 2 -2.716786 -0.1961323 -2.912918 0.1842921
2015 3 -1.52313 -0.1381142 -1.661245 0.1788254
2015 4 -0.0060543 0.05406887 0.04801457 0.1798009
2015 5 -0.2822663 0.1256708 -0.1565955 0.1759468
2015 6 0.2259162 0.07449315 0.3004093 0.1825118
2015 7 0.187147 -0.06898838 0.1181587 0.1819633
2015 8 0.9430329 -0.1938057 0.7492272 0.183194
2015 9 2.808977 -0.1418065 2.66717 0.1873888
2015 10 2.536848 -0.06506705 2.47178 0.1867407
2015 11 1.580036 -0.1574457 1.42259 0.1840281
2015 12 0.2312064 -0.1851953 0.04601115 0.1847741
2016 1 -0.8106856 -0.2807095 -1.091395 0.1892095
2016 2 -2.79887 -0.181367 -2.980237 0.1934146
2016 3 -1.17431 0.0111881 -1.163122 0.1938038
2016 4 -1.052147 0.2607926 -0.7913541 0.1941332
2016 5 0.1925635 0.1242964 0.3168599 0.1906017
2016 6 0.5711228 -0.0345408 0.536582 0.1974764
2016 7 0.1445035 0.09118296 0.2356865 0.1960993
2016 8 0.03363676 0.08440729 0.1180441 0.1988988
2016 9 0.6266207 -0.1117874 0.5148333 0.2027324
2016 10 0.4604591 -0.02669296 0.4337661 0.201757
2016 11 0.05830488 0.05041908 0.108724 0.1995398
2016 12 -0.1899266 0.1163246 -0.07360196 0.1995835
2017 1 -0.4814405 -0.04534162 -0.5267821 0.1824929
2017 2 -1.617382 -0.1136206 -1.731003 0.1919889
2017 3 -1.913646 -0.1167222 -2.030368 0.1865485
2017 4 -1.28296 0.1500703 -1.13289 0.1865296
2017 5 1.021928 0.4981204 1.520048 0.1839281
2017 6 0.7046545 0.5112558 1.21591 0.1900154
2017 7 0.4281358 0.2468983 0.6750341 0.1888065
2017 8 1.420723 0.08723959 1.507963 0.191478
2017 9 -0.007122627 -0.0555373 -0.06265992 0.1947109
2017 10 1.525682 0.03710551 1.562788 0.1944497
2017 11 0.5230997 0.1733996 0.6964993 0.1920466
2017 12 -0.1824404 0.02217598 -0.1602644 0.1916511
2018 1 -2.049852 0.0551344 -1.994718 0.1945313
2018 2 -1.731878 0.2832428 -1.448636 0.2043066
2018 3 -2.4284 0.2217636 -2.206636 0.1979908
2018 4 -1.622765 0.3151762 -1.307589 0.1987495
2018 5 -0.03298497 0.2789462 0.2459613 0.1955589
2018 6 -0.1345166 0.3111446 0.176628 0.2017219
2018 7 0.0778027 0.1833777 0.2611804 0.2011574
2018 8 1.103535 -0.01141933 1.092115 0.2035375
2018 9 0.5382008 -0.350218 0.1879828 0.2067361
2018 10 0.5046338 -0.02947767 0.4751561 0.207293
2018 11 0.7720027 0.1108352 0.8828379 0.2041559
2018 12 -0.8694409 -0.1030536 -0.9724944 0.2038965
2019 1 -2.832101 -0.1655585 -2.99766 0.2046574
2019 2 -1.818983 -0.03952729 -1.858511 0.2149966
2019 3 -1.717979 0.1099305 -1.608048 0.2077654
2019 4 -0.6127277 0.2757551 -0.3369726 0.2094837
2019 5 0.5510579 0.2652973 0.8163551 0.205523
2019 6 0.1343912 0.332906 0.4672973 0.2117857
2019 7 0.4556861 0.2124923 0.6681784 0.2119813
2019 8 0.1574047 0.02919675 0.1866014 0.2136424
2019 9 0.7258966 -0.1056314 0.6202652 0.2178585
2019 10 1.471191 -0.1297578 1.341434 0.2180879
2019 11 0.1105556 -0.0347597 0.0757959 0.2143202
2019 12 -0.5246932 -0.1252979 -0.6499911 0.2149032
2020 1 -0.5617905 -0.1803511 -0.7421416 0.2073572
2020 2 -1.82114 -0.2332564 -2.054396 0.2097752
2020 3 -2.34739 0.01324874 -2.334142 0.1876821
2020 4 -1.424183 0.2354845 -1.188699 0.1662046
2020 5 -0.3249888 0.1784521 -0.1465366 0.1664094
2020 6 0.3727218 0.1174776 0.4901994 0.1911064
2020 7 -0.1511354 0.135026 -0.01610941 0.1932679
2020 8 0.2078954 0.04074207 0.2486374 0.192101
2020 9 1.009261 -0.0408798 0.968381 0.2020662
2020 10 1.292601 0.003619783 1.296221 0.2007449
2020 11 0.3027568 0.04890972 0.3516665 0.194332
2020 12 -0.3403637 0.0390047 -0.301359 0.1998846
