year month land ocean net foss
2015 1 0.5176248 0.4654866 0.9831114 1.778712
2015 2 0.2206565 0.3923277 0.6129841 1.835634
2015 3 0.7217286 0.08371873 0.8054473 1.805538
2015 4 0.1095516 -0.07921643 0.03033521 1.764394
2015 5 -0.964405 -0.167633 -1.132038 1.728063
2015 6 -0.5010638 -0.02737167 -0.5284355 1.775361
2015 7 -1.20909 0.1846665 -1.024424 1.76182
2015 8 -2.671421 0.3434122 -2.328009 1.755929
2015 9 -2.1477 0.3852413 -1.762459 1.784111
2015 10 -1.871931 0.1929442 -1.678987 1.778622
2015 11 -0.5241334 0.09977233 -0.424361 1.863886
2015 12 -0.2427536 0.2525406 0.009786989 1.937359
2016 1 0.4721293 0.8649873 1.337117 1.772323
2016 2 0.4564768 0.7899866 1.246463 1.774439
2016 3 1.14966 0.1353684 1.285028 1.80575
2016 4 0.9595471 -0.1847778 0.7747693 1.757728
2016 5 -0.9892178 -0.2945939 -1.283812 1.731439
2016 6 0.1982077 -0.1232441 0.07496362 1.772601
2016 7 -1.018343 0.1096491 -0.908694 1.752146
2016 8 -2.431857 0.2542292 -2.177627 1.758834
2016 9 -2.741772 0.2653028 -2.476469 1.779071
2016 10 -1.858298 0.1081617 -1.750136 1.774109
2016 11 -0.8072826 -0.1576339 -0.9649165 1.863953
2016 12 -0.06353061 -0.2404051 -0.3039357 1.927865
2017 1 0.2454651 0.178581 0.4240461 1.803535
2017 2 -0.256542 0.1884346 -0.06810744 1.86017
2017 3 0.3669439 -0.08759991 0.279344 1.832265
2017 4 -0.5046261 -0.3761567 -0.8807828 1.78432
2017 5 -1.891906 -0.3725108 -2.264417 1.763127
2017 6 -0.5240446 -0.1439663 -0.6680108 1.799578
2017 7 -0.8706649 0.04755177 -0.8231132 1.780705
2017 8 -1.835552 0.143711 -1.691841 1.785765
2017 9 -2.118158 0.1554861 -1.962672 1.80368
2017 10 -1.890962 0.05721434 -1.833748 1.805986
2017 11 -0.9947977 -0.1752988 -1.170097 1.892405
2017 12 -0.5551834 -0.314714 -0.8698974 1.953623
2018 1 -0.1242157 -0.1209492 -0.2451649 1.859421
2018 2 0.5649863 0.1113698 0.6763561 1.914536
2018 3 0.07889522 -0.05161953 0.02727569 1.882176
2018 4 -0.02793767 -0.320736 -0.3486737 1.840575
2018 5 -1.063475 -0.3780106 -1.441486 1.815043
2018 6 0.15792 -0.1345325 0.02338746 1.848261
2018 7 -0.5463916 0.06611329 -0.4802783 1.835716
2018 8 -1.58532 0.2002677 -1.385052 1.835402
2018 9 -1.813473 0.2601573 -1.553315 1.853677
2018 10 -2.030102 0.1084041 -1.921698 1.861804
2018 11 -0.5108017 -0.1161212 -0.6269229 1.946046
2018 12 -0.3946867 -0.3223067 -0.7169933 2.011858
2019 1 0.1408038 -0.2423823 -0.1015784 1.888373
2019 2 0.382106 -0.3381299 0.04397605 1.944691
2019 3 0.7208132 -0.4377005 0.2831127 1.909708
2019 4 0.5788959 -0.4980697 0.08082613 1.874767
2019 5 -0.6381308 -0.3930473 -1.031178 1.844092
2019 6 0.3510099 -0.1461417 0.2048682 1.877253
2019 7 -0.3301883 0.04302223 -0.2871661 1.869753
2019 8 -1.628137 0.1632377 -1.4649 1.862218
2019 9 -2.547474 0.1725463 -2.374928 1.889256
2019 10 -2.137529 0.05134573 -2.086183 1.893338
2019 11 -1.315783 -0.2000336 -1.515817 1.975247
2019 12 0.01216175 -0.3260313 -0.3138696 2.050225
2020 1 0.1048934 -0.1245649 -0.01967151 1.864558
2020 2 -0.2248724 -0.1576393 -0.3825117 1.803474
2020 3 0.4782374 -0.3541392 0.1240981 1.692159
2020 4 0.08837331 -0.3964762 -0.3081029 1.528224
2020 5 -0.7589172 -0.3074494 -1.066367 1.608004
2020 6 0.1312197 -0.09725467 0.03396501 1.753084
2020 7 -0.1748408 0.1113352 -0.06350557 1.78028
2020 8 -1.1652 0.2657558 -0.8994437 1.801663
2020 9 -1.621183 0.2865263 -1.334657 1.873116
2020 10 -2.095164 0.1064217 -1.988742 1.875874
2020 11 -0.5748264 -0.08692959 -0.661756 1.933856
2020 12 0.1598651 -0.05112362 0.1087415 2.029179
