year month land ocean net foss
2015 1 0.2631191 -0.5120557 -0.2489366 1.778712
2015 2 -0.04554968 -0.6090441 -0.6545938 1.835634
2015 3 -0.1193073 -0.4984235 -0.6177308 1.805538
2015 4 -0.3037947 -0.3704227 -0.6742174 1.764394
2015 5 -0.4959335 -0.1858351 -0.6817686 1.728063
2015 6 0.736382 -0.01397464 0.7224073 1.775361
2015 7 0.6802449 0.1410145 0.8212594 1.76182
2015 8 -0.01938164 0.2372587 0.217877 1.755929
2015 9 -0.5686624 0.2226563 -0.3460061 1.784111
2015 10 -1.350403 0.08355837 -1.266845 1.778622
2015 11 -0.5552852 -0.1257029 -0.6809881 1.863886
2015 12 0.1681075 -0.3441584 -0.1760509 1.937359
2016 1 0.2643771 -0.5104986 -0.2461216 1.772323
2016 2 -0.05118944 -0.6096629 -0.6608523 1.774439
2016 3 -0.1167236 -0.4944223 -0.6111458 1.80575
2016 4 -0.3215041 -0.3664726 -0.6879767 1.757728
2016 5 -0.4631323 -0.1774412 -0.6405735 1.731439
2016 6 0.7573139 -0.009374473 0.7479394 1.772601
2016 7 0.6591039 0.1443147 0.8034186 1.752146
2016 8 -0.03933224 0.2401519 0.2008197 1.758834
2016 9 -0.5963598 0.2192209 -0.3771389 1.779071
2016 10 -1.352167 0.07758719 -1.27458 1.774109
2016 11 -0.5165544 -0.1338035 -0.650358 1.863953
2016 12 0.1769903 -0.3489956 -0.1720052 1.927865
2017 1 0.2621952 -0.514182 -0.2519867 1.803535
2017 2 -0.0448223 -0.6060825 -0.6509049 1.86017
2017 3 -0.1187678 -0.500378 -0.6191458 1.832265
2017 4 -0.3012781 -0.3725819 -0.6738601 1.78432
2017 5 -0.4870287 -0.1826722 -0.6697009 1.763127
2017 6 0.7253148 -0.01468118 0.7106336 1.799578
2017 7 0.6813284 0.1402726 0.821601 1.780705
2017 8 -0.02217869 0.2377953 0.2156166 1.785765
2017 9 -0.5638499 0.2229416 -0.3409082 1.80368
2017 10 -1.351097 0.0821682 -1.268929 1.805986
2017 11 -0.5560327 -0.1244975 -0.6805302 1.892405
2017 12 0.1655528 -0.3424905 -0.1769377 1.953623
2018 1 0.2617912 -0.515154 -0.2533628 1.859421
2018 2 -0.04465782 -0.6053511 -0.6500089 1.914536
2018 3 -0.1183306 -0.5011631 -0.6194937 1.882176
2018 4 -0.3024649 -0.3711183 -0.6735832 1.840575
2018 5 -0.4860786 -0.1838789 -0.6699575 1.815043
2018 6 0.7259046 -0.01504069 0.7108639 1.848261
2018 7 0.6791583 0.1409585 0.8201168 1.835716
2018 8 -0.02010146 0.2373545 0.217253 1.835402
2018 9 -0.5601596 0.2232894 -0.3368702 1.853677
2018 10 -1.353976 0.08181092 -1.272165 1.861804
2018 11 -0.5577738 -0.1242453 -0.6820191 1.946046
2018 12 0.1660992 -0.3437675 -0.1776683 2.011858
2019 1 0.2618501 -0.514214 -0.2523639 1.888373
2019 2 -0.04475839 -0.6056711 -0.6504295 1.944691
2019 3 -0.1181279 -0.50116 -0.6192879 1.909708
2019 4 -0.3034995 -0.3698895 -0.673389 1.874767
2019 5 -0.4872046 -0.1846603 -0.6718649 1.844092
2019 6 0.7283016 -0.01576843 0.7125332 1.877253
2019 7 0.6779192 0.1419584 0.8198777 1.869753
2019 8 -0.0184829 0.2369698 0.2184869 1.862218
2019 9 -0.5647553 0.2231134 -0.3416419 1.889256
2019 10 -1.350459 0.08235477 -1.268105 1.893338
2019 11 -0.5589774 -0.1243258 -0.6833032 1.975247
2019 12 0.1675377 -0.3446652 -0.1771276 2.050225
2020 1 0.2622836 -0.5132017 -0.2509181 1.864558
2020 2 -0.04878342 -0.6068713 -0.6556548 1.803474
2020 3 -0.1167461 -0.4948197 -0.6115658 1.692159
2020 4 -0.3224751 -0.3644702 -0.6869452 1.528224
2020 5 -0.4717509 -0.1796007 -0.6513516 1.608004
2020 6 0.7670529 -0.00883588 0.758217 1.753084
2020 7 0.6551597 0.1454767 0.8006364 1.78028
2020 8 -0.03413528 0.2388244 0.2046891 1.801663
2020 9 -0.5985435 0.219618 -0.3789255 1.873116
2020 10 -1.351575 0.07792108 -1.273654 1.875874
2020 11 -0.5182103 -0.1334575 -0.6516678 1.933856
2020 12 0.1789401 -0.3503844 -0.1714443 2.029179
