year month land ocean net foss
2015 1 -0.9787224 0.1399746 -0.8387478 0.2356733
2015 2 -0.7666753 0.2098301 -0.5568452 0.2532219
2015 3 -1.148486 0.104103 -1.044383 0.2372777
2015 4 -0.4714058 0.01906039 -0.4523454 0.2423079
2015 5 0.2130839 -0.1214505 0.0916334 0.2422721
2015 6 1.034025 -0.3301054 0.7039198 0.2538848
2015 7 1.038079 -0.4626141 0.5754648 0.2509241
2015 8 0.4554775 -0.5401726 -0.08469503 0.2513851
2015 9 0.2271993 -0.5184912 -0.2912919 0.2564852
2015 10 -0.1208538 -0.3680964 -0.4889502 0.2525893
2015 11 -0.2879686 -0.2263809 -0.5143495 0.2551085
2015 12 -0.7411545 -0.06563699 -0.8067915 0.2469179
2016 1 -0.9805787 0.1387665 -0.8418122 0.2369094
2016 2 -0.7719192 0.208731 -0.5631882 0.2471038
2016 3 -1.147037 0.1013873 -1.04565 0.2396524
2016 4 -0.4443041 0.01655008 -0.427754 0.2436659
2016 5 0.2433339 -0.1291388 0.1141951 0.2446153
2016 6 1.048344 -0.3341761 0.7141678 0.2559884
2016 7 1.025414 -0.4660106 0.5594034 0.2517485
2016 8 0.4412708 -0.54357 -0.1022992 0.2544982
2016 9 0.2160336 -0.5136621 -0.2976285 0.2584648
2016 10 -0.1291703 -0.3629882 -0.4921585 0.2538704
2016 11 -0.2945231 -0.2219668 -0.5164899 0.2579171
2016 12 -0.7606931 -0.061132 -0.8218251 0.2482644
2017 1 -0.9795995 0.141881 -0.8377185 0.2391417
2017 2 -0.7693614 0.2088479 -0.5605135 0.2572571
2017 3 -1.147473 0.1045079 -1.042965 0.2413977
2017 4 -0.4742357 0.02135115 -0.4528845 0.2448072
2017 5 0.2227269 -0.125035 0.09769187 0.2470953
2017 6 1.027858 -0.3278391 0.7000187 0.257838
2017 7 1.039538 -0.463772 0.575766 0.2535984
2017 8 0.4524692 -0.5408236 -0.08835439 0.2564041
2017 9 0.2296831 -0.518691 -0.2890079 0.2598481
2017 10 -0.1220008 -0.3657528 -0.4877536 0.2562612
2017 11 -0.2890452 -0.2269706 -0.5160158 0.2598325
2017 12 -0.7366015 -0.06875813 -0.8053597 0.249429
2018 1 -0.9805127 0.143623 -0.8368897 0.2391786
2018 2 -0.770979 0.2082873 -0.5626917 0.2567087
2018 3 -1.148967 0.1047194 -1.044248 0.2401233
2018 4 -0.470406 0.02019738 -0.4502086 0.2445719
2018 5 0.2212128 -0.124359 0.09685377 0.246428
2018 6 1.028044 -0.328116 0.6999275 0.2566811
2018 7 1.037421 -0.4638072 0.5736141 0.2534002
2018 8 0.4546952 -0.5400519 -0.08535675 0.2556063
2018 9 0.2308453 -0.5197075 -0.2888623 0.2584218
2018 10 -0.1233499 -0.3647004 -0.4880503 0.2562492
2018 11 -0.2887024 -0.2273849 -0.5160874 0.2591067
2018 12 -0.7385471 -0.06732209 -0.8058692 0.248659
2019 1 -0.9788335 0.1424103 -0.8364232 0.2414124
2019 2 -0.7711038 0.2083432 -0.5627606 0.2591337
2019 3 -1.152023 0.1049772 -1.047046 0.2416137
2019 4 -0.4661916 0.01893644 -0.4472551 0.2475228
2019 5 0.2190834 -0.1235434 0.09554 0.2486591
2019 6 1.029162 -0.3280215 0.7011409 0.2583765
2019 7 1.036449 -0.4640217 0.572427 0.256448
2019 8 0.4563155 -0.5388892 -0.0825737 0.2574471
2019 9 0.2287765 -0.5201182 -0.2913417 0.2612756
2019 10 -0.1220121 -0.3657135 -0.4877256 0.2586081
2019 11 -0.2880077 -0.22739 -0.5153976 0.2609652
2019 12 -0.7404087 -0.06608499 -0.8064937 0.2513829
2020 1 -0.9781836 0.1411934 -0.8369902 0.2508444
2020 2 -0.775105 0.2071478 -0.5679572 0.2515879
2020 3 -1.148334 0.1012603 -1.047073 0.2175463
2020 4 -0.4418398 0.01561988 -0.4262199 0.1913057
2020 5 0.2364692 -0.1278485 0.1086207 0.1979125
2020 6 1.053687 -0.3360095 0.7176779 0.2324646
2020 7 1.020783 -0.4663871 0.5543958 0.2308202
2020 8 0.4470652 -0.5414435 -0.09437834 0.2278511
2020 9 0.2146197 -0.5146714 -0.3000517 0.2390561
2020 10 -0.1288041 -0.3627376 -0.4915418 0.2394487
2020 11 -0.2934653 -0.2220304 -0.5154957 0.2406201
2020 12 -0.7629965 -0.05970435 -0.8227008 0.2393538
