year month land ocean net foss
2015 1 6.195234 -3.234944 2.960289 8.656976
2015 2 1.596378 -3.581087 -1.984709 8.923629
2015 3 6.447644 -3.197733 3.24991 8.660329
2015 4 2.245596 -3.10736 -0.8617641 8.390098
2015 5 -8.726164 -3.138854 -11.86502 8.111184
2015 6 -29.76346 -3.130368 -32.89382 8.395776
2015 7 -26.11237 -2.320106 -28.43248 8.317251
2015 8 -10.76028 -2.245821 -13.0061 8.33631
2015 9 2.320188 -2.226242 0.0939463 8.445909
2015 10 8.705699 -2.837457 5.868241 8.477225
2015 11 6.658698 -3.595185 3.063513 8.862518
2015 12 6.644412 -3.621599 3.022813 9.254607
2016 1 6.075966 -3.646506 2.42946 8.653587
2016 2 4.051919 -3.646171 0.4057481 8.654733
2016 3 3.933276 -3.187245 0.7460308 8.699523
2016 4 1.937371 -3.237889 -1.300518 8.387591
2016 5 -8.709995 -3.171408 -11.8814 8.149834
2016 6 -30.29965 -2.791872 -33.09153 8.414581
2016 7 -29.82318 -2.56436 -32.38754 8.296068
2016 8 -12.3647 -2.304592 -14.66929 8.38592
2016 9 5.459327 -2.370121 3.089206 8.45692
2016 10 9.39672 -3.045048 6.351672 8.479166
2016 11 6.105051 -3.607534 2.497517 8.900313
2016 12 6.312498 -3.790732 2.521766 9.243781
2017 1 2.864404 -3.644981 -0.7805774 8.777089
2017 2 2.612743 -3.666971 -1.054228 9.048277
2017 3 4.006409 -3.250721 0.7556881 8.805184
2017 4 5.261722 -3.186544 2.075178 8.48009
2017 5 -11.55575 -3.057006 -14.61275 8.273922
2017 6 -25.12178 -2.99673 -28.11851 8.518714
2017 7 -32.9782 -2.381812 -35.36002 8.402178
2017 8 -16.4776 -2.113815 -18.59141 8.491594
2017 9 4.606615 -2.271836 2.334779 8.546336
2017 10 10.01201 -2.687711 7.324302 8.605476
2017 11 7.925161 -3.351027 4.574134 9.01125
2017 12 6.022242 -3.517604 2.504638 9.335563
2018 1 5.525565 -3.091424 2.434141 8.976016
2018 2 2.679782 -3.381303 -0.7015211 9.231081
2018 3 5.294877 -3.284074 2.010803 8.967436
2018 4 4.511816 -3.275471 1.236345 8.670447
2018 5 -8.377643 -3.039976 -11.41762 8.44524
2018 6 -28.85374 -3.062588 -31.91633 8.67697
2018 7 -34.03354 -2.25448 -36.28802 8.591611
2018 8 -10.29682 -2.072401 -12.36922 8.663099
2018 9 4.734512 -2.237669 2.496844 8.704536
2018 10 10.35163 -2.725384 7.626243 8.801407
2018 11 6.997074 -3.386754 3.61032 9.18961
2018 12 3.952509 -3.729245 0.2232644 9.529523
2019 1 5.644394 -3.261198 2.383196 8.98519
2019 2 5.054843 -3.665306 1.389537 9.240892
2019 3 5.570801 -3.100477 2.470324 8.964415
2019 4 3.42932 -2.991088 0.4382321 8.713832
2019 5 -10.93337 -2.954598 -13.88796 8.466773
2019 6 -26.76269 -3.109301 -29.87199 8.688566
2019 7 -31.0391 -2.267519 -33.30661 8.637478
2019 8 -12.12452 -2.238542 -14.36306 8.671798
2019 9 0.6174123 -2.291385 -1.673973 8.750889
2019 10 8.022904 -2.823254 5.19965 8.828767
2019 11 7.291879 -3.552808 3.73907 9.196216
2019 12 4.876026 -3.790648 1.085378 9.57437
2020 1 4.109423 -3.720325 0.3890974 8.679617
2020 2 2.758699 -3.737634 -0.9789351 8.457677
2020 3 4.100193 -3.210658 0.8895349 8.085311
2020 4 4.680335 -3.287699 1.392636 7.344425
2020 5 -7.757518 -3.155206 -10.91272 7.372794
2020 6 -29.63001 -2.999121 -32.62914 8.141753
2020 7 -34.07468 -2.538281 -36.61297 8.139084
2020 8 -9.643249 -2.212679 -11.85593 8.282947
2020 9 8.715179 -2.361116 6.354063 8.479585
2020 10 10.02206 -2.812226 7.209829 8.49696
2020 11 9.699435 -3.384337 6.315098 8.753376
2020 12 5.063422 -3.731348 1.332074 9.522416
