year month land ocean net foss
2015 1 0.7816863 -0.07739103 0.7042953 0.1456044
2015 2 0.7806362 -0.07841868 0.7022176 0.1531096
2015 3 0.7143985 -0.08131748 0.6330811 0.1471558
2015 4 1.046222 -0.09932659 0.9468952 0.142458
2015 5 0.8243591 -0.1147893 0.7095697 0.1368614
2015 6 -5.102104 -0.1128529 -5.214957 0.1438592
2015 7 -7.086974 -0.09041005 -7.177384 0.1364539
2015 8 -5.12329 -0.1092011 -5.232491 0.1394384
2015 9 0.7998221 -0.1471496 0.6526725 0.1402917
2015 10 1.479041 -0.182194 1.296847 0.1429574
2015 11 1.216166 -0.1716888 1.044478 0.1455564
2015 12 1.001891 -0.1060646 0.8958266 0.147985
2016 1 0.6170282 -0.1030569 0.5139713 0.1503146
2016 2 0.7627184 -0.1164575 0.6462609 0.1535574
2016 3 0.7317042 -0.0909383 0.6407659 0.152684
2016 4 0.8833369 -0.106081 0.777256 0.1471969
2016 5 0.05554775 -0.1381734 -0.08262564 0.1420658
2016 6 -3.965104 -0.1081084 -4.073213 0.1489919
2016 7 -4.876163 -0.09328526 -4.969448 0.1407984
2016 8 -3.771498 -0.09655305 -3.868051 0.1449577
2016 9 1.216255 -0.1296792 1.086576 0.145271
2016 10 1.655225 -0.1636938 1.491531 0.1477322
2016 11 1.265257 -0.1671116 1.098145 0.1510829
2016 12 1.038463 -0.135392 0.9030713 0.1528994
2017 1 0.8380073 -0.1138425 0.7241648 0.1546578
2017 2 0.7682758 -0.1121974 0.6560784 0.162727
2017 3 0.7937712 -0.09447127 0.6992999 0.1568435
2017 4 1.085134 -0.09656045 0.9885737 0.151015
2017 5 0.6053226 -0.1173811 0.4879415 0.1463049
2017 6 -4.114269 -0.1201295 -4.234398 0.1530965
2017 7 -7.59505 -0.1019694 -7.697019 0.1446764
2017 8 -3.347615 -0.1024896 -3.450105 0.1490113
2017 9 1.083844 -0.1403672 0.9434765 0.1490384
2017 10 1.620566 -0.1564438 1.464122 0.1520523
2017 11 1.329761 -0.1209531 1.208808 0.1551448
2017 12 0.9822064 -0.1001381 0.8820683 0.1566038
2018 1 0.9403277 -0.08074962 0.859578 0.1602448
2018 2 0.846386 -0.06814593 0.77824 0.1682926
2018 3 0.8012679 -0.09871444 0.7025535 0.1619119
2018 4 1.17915 -0.09758944 1.08156 0.1564299
2018 5 0.727637 -0.1156955 0.6119415 0.1512533
2018 6 -4.496968 -0.1107003 -4.607668 0.1580129
2018 7 -6.510706 -0.09378461 -6.604491 0.1498029
2018 8 -2.961303 -0.1005116 -3.061815 0.1540143
2018 9 0.2193594 -0.1362335 0.08312592 0.1537563
2018 10 1.78162 -0.1548304 1.62679 0.1575412
2018 11 1.410813 -0.1497979 1.261015 0.1603544
2018 12 1.01834 -0.1314186 0.886921 0.1619459
2019 1 0.8469707 -0.08308069 0.76389 0.1575052
2019 2 0.8215836 -0.08066384 0.7409197 0.1654286
2019 3 0.8216855 -0.05996169 0.7617238 0.1588541
2019 4 1.123605 -0.08470562 1.0389 0.1542643
2019 5 0.5797111 -0.1199384 0.4597727 0.1487761
2019 6 -2.373266 -0.1435564 -2.516823 0.1551391
2019 7 -7.125469 -0.06274352 -7.188213 0.1477086
2019 8 -2.770357 -0.1051818 -2.875538 0.1512846
2019 9 0.1204088 -0.1309065 -0.0104977 0.1515438
2019 10 1.777052 -0.1645433 1.612509 0.1549422
2019 11 1.462832 -0.1710092 1.291823 0.157349
2019 12 1.053627 -0.1421865 0.9114404 0.159425
2020 1 0.8690183 -0.1153535 0.7536647 0.1520062
2020 2 0.8192672 -0.1257184 0.6935488 0.1599596
2020 3 0.8271418 -0.09803603 0.7291058 0.1520852
2020 4 1.226109 -0.1009717 1.125137 0.1351555
2020 5 0.6131596 -0.1156877 0.4974719 0.1302472
2020 6 -4.562039 -0.1125383 -4.674577 0.1429977
2020 7 -8.418213 -0.09287718 -8.51109 0.1385207
2020 8 -4.27257 -0.09335705 -4.365927 0.1425229
2020 9 0.394589 -0.1219775 0.2726115 0.1444575
2020 10 1.898846 -0.1491029 1.749744 0.1456873
2020 11 1.491334 -0.1608493 1.330484 0.1480647
2020 12 1.011739 -0.1506033 0.8611356 0.1617453
