year month land ocean net foss
2015 1 -1.020013 -1.465424 -2.485437 0.4050868
2015 2 -1.836449 -1.66112 -3.497569 0.4349327
2015 3 1.356291 -1.38381 -0.02751982 0.4118997
2015 4 0.6431394 -1.526916 -0.8837768 0.4192075
2015 5 0.4277334 -1.747619 -1.319886 0.4188355
2015 6 -0.08707048 -1.942737 -2.029807 0.4370689
2015 7 0.2321452 -1.852255 -1.62011 0.4333201
2015 8 -0.08362786 -1.823568 -1.907196 0.434548
2015 9 -0.2741001 -1.803006 -2.077106 0.4415596
2015 10 0.3068848 -1.810126 -1.503242 0.4317523
2015 11 0.3310338 -1.721182 -1.390148 0.437018
2015 12 -0.5013465 -1.778991 -2.280337 0.4251154
2016 1 -0.3202428 -1.61175 -1.931992 0.4088218
2016 2 -0.7558035 -1.550255 -2.306059 0.426026
2016 3 -0.6952689 -1.407288 -2.102557 0.4175513
2016 4 0.1009587 -1.577665 -1.476707 0.4231308
2016 5 1.082549 -1.756053 -0.6735031 0.424404
2016 6 0.2839959 -1.854257 -1.570261 0.442209
2016 7 -0.4724744 -2.18355 -2.656025 0.4364504
2016 8 -0.8596941 -2.056681 -2.916375 0.441344
2016 9 -0.4634807 -1.871413 -2.334894 0.4465129
2016 10 -0.528115 -2.034121 -2.562236 0.4356341
2016 11 -0.6108243 -1.896851 -2.507675 0.443244
2016 12 -1.063442 -1.863823 -2.927265 0.4290521
2017 1 -1.793841 -1.661325 -3.455166 0.4070212
2017 2 -2.161455 -1.683212 -3.844668 0.4375357
2017 3 -1.678742 -1.456387 -3.135129 0.414831
2017 4 0.3980759 -1.631452 -1.233376 0.4195288
2017 5 0.2185832 -1.550686 -1.332103 0.4228248
2017 6 0.04412624 -1.93234 -1.888213 0.4395159
2017 7 -0.1764972 -1.996845 -2.173342 0.4338532
2017 8 -0.3791345 -1.913267 -2.292401 0.4387785
2017 9 -0.193687 -1.738868 -1.932555 0.4430689
2017 10 -0.4067466 -1.792177 -2.198924 0.4338806
2017 11 -0.5974393 -1.822653 -2.420092 0.4406829
2017 12 -0.5785449 -1.791343 -2.369888 0.4254159
2018 1 -0.8224014 -1.509992 -2.332393 0.4071042
2018 2 -1.526327 -1.663287 -3.189613 0.4366939
2018 3 -0.3053345 -1.475389 -1.780724 0.4129455
2018 4 0.05721876 -1.578891 -1.521672 0.4192435
2018 5 0.09066271 -1.683868 -1.593205 0.4218763
2018 6 0.226294 -1.959089 -1.732795 0.4377358
2018 7 0.1906102 -2.06158 -1.87097 0.4336252
2018 8 -0.04518252 -1.910912 -1.956095 0.4376012
2018 9 -0.01379515 -1.722018 -1.735813 0.4409851
2018 10 -0.03628181 -1.765343 -1.801625 0.4339263
2018 11 -0.1880458 -1.772677 -1.960723 0.4395866
2018 12 -1.68405 -1.838634 -3.522685 0.4243418
2019 1 -0.6688007 -1.753129 -2.42193 0.4111278
2019 2 1.017119 -2.008285 -0.9911663 0.4411165
2019 3 0.5498591 -1.580856 -1.030997 0.4158163
2019 4 0.8204952 -1.352869 -0.5323739 0.4244524
2019 5 0.4968779 -1.472568 -0.9756905 0.4259425
2019 6 0.3888812 -1.678376 -1.289495 0.4410715
2019 7 0.02008609 -1.857327 -1.83724 0.4390548
2019 8 -1.036458 -1.897147 -2.933605 0.4410729
2019 9 0.02294453 -1.664032 -1.641088 0.446054
2019 10 0.1279045 -1.809898 -1.681993 0.4381183
2019 11 -0.1288999 -1.772974 -1.901874 0.4430235
2019 12 -1.415979 -1.789873 -3.205853 0.4291485
2020 1 -2.008399 -1.637763 -3.646162 0.4209501
2020 2 -2.317051 -1.631555 -3.948606 0.429498
2020 3 -0.8387075 -1.444272 -2.282979 0.3744703
2020 4 -0.3175485 -1.679055 -1.996604 0.3320835
2020 5 -0.1986461 -1.824596 -2.023242 0.3415795
2020 6 0.1768143 -2.045196 -1.868382 0.3965583
2020 7 0.02664981 -2.15502 -2.12837 0.3973548
2020 8 -0.1773262 -1.976674 -2.154 0.3931621
2020 9 0.1378186 -1.813549 -1.675731 0.4105958
2020 10 0.6258792 -1.809752 -1.183873 0.4031978
2020 11 -0.445651 -1.751491 -2.197142 0.4034886
2020 12 -1.852651 -1.837881 -3.690532 0.4020655
