year month land ocean net foss
2015 1 1.402542 0.06813073 1.470673 0.2449993
2015 2 3.543497 0.1374822 3.680979 0.2556789
2015 3 4.224665 0.1165634 4.341228 0.2487287
2015 4 0.4265355 0.1330823 0.5596178 0.2486324
2015 5 -0.5024915 0.1118672 -0.3906243 0.2444999
2015 6 -1.774917 0.1676612 -1.607256 0.2520607
2015 7 -0.983266 0.1875026 -0.7957634 0.2496629
2015 8 -1.865477 0.162557 -1.70292 0.2489273
2015 9 2.71464 0.1355004 2.85014 0.2529453
2015 10 5.051677 0.1163892 5.168067 0.2516755
2015 11 0.6764508 0.07430612 0.750757 0.2536048
2015 12 2.035009 0.1087319 2.143741 0.2520885
2016 1 6.412962 0.1224856 6.535448 0.2520142
2016 2 5.452764 0.1283972 5.581161 0.256347
2016 3 3.898949 0.1205412 4.01949 0.2570478
2016 4 3.21774 0.1001471 3.317887 0.25581
2016 5 -0.005673367 0.1351187 0.1294454 0.2525157
2016 6 -3.586139 0.1831956 -3.402943 0.2598463
2016 7 -3.168147 0.1856369 -2.98251 0.2564721
2016 8 -2.343314 0.1544792 -2.188835 0.2576456
2016 9 -1.229918 0.1445281 -1.08539 0.2608449
2016 10 3.15287 0.1191329 3.272003 0.2590874
2016 11 3.136894 0.09987325 3.236767 0.2621776
2016 12 3.603011 0.1183856 3.721396 0.2595574
2017 1 3.398603 0.09868333 3.497287 0.2577525
2017 2 3.174276 0.1491075 3.323384 0.2686756
2017 3 2.742539 0.108231 2.85077 0.2621219
2017 4 1.844659 0.06045469 1.905114 0.2604559
2017 5 2.263496 0.1280772 2.391573 0.2581556
2017 6 -2.868342 0.1544011 -2.713941 0.2647547
2017 7 -1.84124 0.191874 -1.649366 0.2614535
2017 8 -2.912315 0.1421145 -2.770201 0.2625563
2017 9 0.4539981 0.1319167 0.5859148 0.2652195
2017 10 3.709645 0.09440074 3.804045 0.2643514
2017 11 1.066203 0.0921161 1.158319 0.2670607
2017 12 2.066903 0.06820499 2.135108 0.2639772
2018 1 2.755845 0.08285895 2.838704 0.2644389
2018 2 3.562451 0.03404856 3.596499 0.2751901
2018 3 1.391442 0.1055379 1.49698 0.2680253
2018 4 1.497489 0.1492969 1.646786 0.2669741
2018 5 -1.823172 0.1393066 -1.683865 0.2642939
2018 6 -1.088903 0.1790906 -0.9098128 0.2704889
2018 7 -1.986926 0.1693238 -1.817602 0.2677956
2018 8 -2.791907 0.1595848 -2.632322 0.2683413
2018 9 1.878113 0.1245416 2.002654 0.2707461
2018 10 0.3839218 0.09967958 0.4836014 0.270978
2018 11 1.31612 0.08761114 1.403731 0.2732916
2018 12 3.507019 0.1176309 3.62465 0.2703115
2019 1 5.448952 0.1099196 5.558871 0.2704523
2019 2 4.07499 0.08142876 4.156419 0.2814821
2019 3 6.036672 0.05849059 6.095162 0.2736145
2019 4 3.041172 0.03302504 3.074197 0.2735338
2019 5 3.726859 0.1561608 3.88302 0.2702253
2019 6 -2.161619 0.1760429 -1.985577 0.2761319
2019 7 0.2575716 0.1248063 0.382378 0.2743151
2019 8 -3.54421 0.1526135 -3.391596 0.2739264
2019 9 2.482208 0.1299749 2.612183 0.2772733
2019 10 -0.1069676 0.1263631 0.01939546 0.2771676
2019 11 0.9625252 0.09973827 1.062264 0.2790755
2019 12 4.063148 0.123006 4.186154 0.276961
2020 1 3.608188 0.1236071 3.731795 0.2708073
2020 2 2.840518 0.1494665 2.989985 0.2755976
2020 3 5.55496 0.09753162 5.652491 0.2443322
2020 4 2.917893 0.1347618 3.052655 0.2125454
2020 5 0.7677663 0.1368958 0.904662 0.2151328
2020 6 -2.642093 0.1668742 -2.475219 0.2435561
2020 7 -1.803956 0.1893422 -1.614613 0.2471091
2020 8 -1.548417 0.1599659 -1.388451 0.2440915
2020 9 -0.4615304 0.129463 -0.3320674 0.255417
2020 10 -0.5996385 0.09390357 -0.5057349 0.2512828
2020 11 -0.7279625 0.08802824 -0.6399343 0.2476449
2020 12 2.58957 0.119784 2.709354 0.250975
