year month land ocean net foss
2015 1 -1.574611 0.002031024 -1.57258 0.2356733
2015 2 -1.083469 0.02773259 -1.055736 0.2532219
2015 3 -1.175077 -0.03053794 -1.205615 0.2372777
2015 4 -0.7672607 -0.0822525 -0.8495132 0.2423079
2015 5 -0.8326014 -0.165391 -0.9979924 0.2422721
2015 6 -0.3888949 -0.3032217 -0.6921167 0.2538848
2015 7 -0.2994661 -0.405587 -0.705053 0.2509241
2015 8 -0.2616176 -0.4737441 -0.7353617 0.2513851
2015 9 -0.1103686 -0.4100043 -0.5203729 0.2564852
2015 10 0.3804676 -0.2855905 0.09487713 0.2525893
2015 11 0.3541982 -0.2087912 0.145407 0.2551085
2015 12 -0.4133164 -0.103732 -0.5170484 0.2469179
2016 1 -1.2751 0.01231492 -1.262785 0.2369094
2016 2 -1.290827 0.04142974 -1.249397 0.2471038
2016 3 -1.243427 -0.02077228 -1.264199 0.2396524
2016 4 -1.427603 -0.08232185 -1.509925 0.2436659
2016 5 -0.614849 -0.1778294 -0.7926784 0.2446153
2016 6 -0.6033008 -0.3065818 -0.9098826 0.2559884
2016 7 -0.4593054 -0.4188951 -0.8782005 0.2517485
2016 8 -0.5869112 -0.4937243 -1.080636 0.2544982
2016 9 -0.4151545 -0.4531266 -0.868281 0.2584648
2016 10 -0.2221579 -0.3516954 -0.5738533 0.2538704
2016 11 -0.4774101 -0.2481556 -0.7255656 0.2579171
2016 12 -0.7055418 -0.1518924 -0.8574342 0.2482644
2017 1 -0.9140313 -0.004954204 -0.9189855 0.2391417
2017 2 -1.733396 0.02558642 -1.70781 0.2572571
2017 3 -1.520325 -0.03735777 -1.557683 0.2413977
2017 4 -1.265834 -0.09565531 -1.361489 0.2448072
2017 5 -0.9356274 -0.191854 -1.127481 0.2470953
2017 6 -0.7393658 -0.3223474 -1.061713 0.257838
2017 7 -0.6201215 -0.4171207 -1.037242 0.2535984
2017 8 0.8161741 -0.4901146 0.3260595 0.2564041
2017 9 -0.1604905 -0.4411604 -0.6016509 0.2598481
2017 10 0.7649728 -0.3231391 0.4418338 0.2562612
2017 11 -0.3055556 -0.2351004 -0.540656 0.2598325
2017 12 -0.9608299 -0.1538659 -1.114696 0.249429
2018 1 -0.7821192 0.01098363 -0.7711356 0.2391786
2018 2 -1.199343 0.03644833 -1.162894 0.2567087
2018 3 -1.325665 -0.03592304 -1.361588 0.2401233
2018 4 -1.596867 -0.09096256 -1.68783 0.2445719
2018 5 -1.13307 -0.1768236 -1.309894 0.246428
2018 6 -0.341866 -0.3161178 -0.6579839 0.2566811
2018 7 -0.3627373 -0.421144 -0.7838812 0.2534002
2018 8 -0.4809804 -0.4858139 -0.9667943 0.2556063
2018 9 0.04221928 -0.4488972 -0.4066779 0.2584218
2018 10 -0.05705263 -0.3458423 -0.4028949 0.2562492
2018 11 -0.4779804 -0.2509672 -0.7289476 0.2591067
2018 12 -0.001511362 -0.1366365 -0.1381478 0.248659
2019 1 -0.5883361 0.03234922 -0.5559869 0.2414124
2019 2 -0.9277223 0.04447859 -0.8832438 0.2591337
2019 3 -1.655614 -0.01575344 -1.671368 0.2416137
2019 4 -1.093322 -0.07315055 -1.166473 0.2475228
2019 5 -0.8614716 -0.1674368 -1.028908 0.2486591
2019 6 -0.8732963 -0.2977064 -1.171003 0.2583765
2019 7 -0.1670847 -0.3988859 -0.5659705 0.256448
2019 8 -0.8324315 -0.4760683 -1.3085 0.2574471
2019 9 0.3874916 -0.418157 -0.03066538 0.2612756
2019 10 0.5693127 -0.2849741 0.2843386 0.2586081
2019 11 0.2204732 -0.2150915 0.00538167 0.2609652
2019 12 -0.5245515 -0.1233998 -0.6479513 0.2513829
2020 1 -1.540853 0.03176088 -1.509092 0.2508444
2020 2 -1.258251 0.04514461 -1.213106 0.2515879
2020 3 -1.330434 -0.03374474 -1.364179 0.2175463
2020 4 -1.432539 -0.0777844 -1.510323 0.1913057
2020 5 -0.3878067 -0.1598273 -0.547634 0.1979125
2020 6 0.5222299 -0.2879746 0.2342553 0.2324646
2020 7 0.3022779 -0.4207478 -0.11847 0.2308202
2020 8 0.6827315 -0.4831082 0.1996233 0.2278511
2020 9 0.4596501 -0.4463286 0.01332151 0.2390561
2020 10 1.20917 -0.3474002 0.8617698 0.2394487
2020 11 0.1219455 -0.2513492 -0.1294037 0.2406201
2020 12 -0.1300594 -0.1433804 -0.2734398 0.2393538
