year month land ocean net foss
2015 1 0.01145766 -0.1004095 -0.08895183 0.002527812
2015 2 0.01197077 -0.107233 -0.09526226 0.002592797
2015 3 0.01193799 -0.08817381 -0.07623582 0.002451362
2015 4 0.02019869 -0.07635089 -0.0561522 0.002412316
2015 5 0.05812158 -0.05655712 0.001564462 0.002305375
2015 6 0.05778044 -0.04811823 0.009662209 0.002394835
2015 7 -0.1244774 -0.05047662 -0.174954 0.002412006
2015 8 -0.1459212 -0.05785861 -0.2037798 0.002434844
2015 9 0.03803534 -0.0758588 -0.03782346 0.002419347
2015 10 0.03158933 -0.09231455 -0.06072522 0.002408039
2015 11 0.0208866 -0.0965482 -0.0756616 0.002468519
2015 12 0.01459384 -0.09907022 -0.08447638 0.002506106
2016 1 0.01146937 -0.09810995 -0.08664057 0.002481011
2016 2 0.0119296 -0.1096965 -0.09776685 0.002475252
2016 3 0.01185475 -0.09657543 -0.08472067 0.002414445
2016 4 0.0197594 -0.09245285 -0.07269344 0.002372204
2016 5 0.05657419 -0.06860864 -0.01203445 0.002267883
2016 6 0.0288342 -0.06084259 -0.0320084 0.002355227
2016 7 -0.2790897 -0.04443528 -0.323525 0.002371239
2016 8 -0.112055 -0.05371585 -0.1657708 0.002401776
2016 9 0.04121614 -0.07558114 -0.034365 0.002381815
2016 10 0.03157275 -0.09480855 -0.06323581 0.002366771
2016 11 0.02083757 -0.09930062 -0.07846304 0.002431603
2016 12 0.01456737 -0.1025535 -0.08798613 0.002461865
2017 1 0.01146179 -0.09985485 -0.08839306 0.002587076
2017 2 0.01196635 -0.1076838 -0.09571748 0.002656275
2017 3 0.01190293 -0.09242519 -0.08052227 0.002517912
2017 4 0.02000766 -0.08120465 -0.06119699 0.00247281
2017 5 0.05600949 -0.06084255 -0.004833064 0.002369319
2017 6 0.04604569 -0.05538613 -0.00934044 0.002457079
2017 7 -0.3347152 -0.05700721 -0.3917224 0.002470365
2017 8 -0.1322014 -0.05510408 -0.1873055 0.002503308
2017 9 0.03700488 -0.07681675 -0.03981188 0.002482519
2017 10 0.03157366 -0.09404029 -0.06246663 0.002471566
2017 11 0.02082073 -0.09983688 -0.07901615 0.002536945
2017 12 0.0145377 -0.1051668 -0.09062907 0.00256279
2018 1 0.01143424 -0.1044365 -0.09300225 0.002646344
2018 2 0.01195299 -0.1116159 -0.09966293 0.002715191
2018 3 0.01192596 -0.08918495 -0.07725899 0.002570867
2018 4 0.02006882 -0.08134408 -0.06127526 0.002527554
2018 5 0.05647757 -0.05770277 -0.001225199 0.002421672
2018 6 0.02763889 -0.04937426 -0.02173537 0.002509248
2018 7 -0.2117728 -0.04766894 -0.2594417 0.00252548
2018 8 -0.106744 -0.05467758 -0.1614216 0.002557368
2018 9 0.03648182 -0.0762741 -0.03979228 0.002533574
2018 10 0.03148397 -0.09594495 -0.06446098 0.002527329
2018 11 0.02078919 -0.1020595 -0.08127027 0.002591562
2018 12 0.01453721 -0.1057514 -0.09121421 0.002618322
2019 1 0.01143171 -0.1052588 -0.09382708 0.002600819
2019 2 0.01194493 -0.1120182 -0.1000733 0.002667966
2019 3 0.01187264 -0.09833182 -0.08645918 0.002524303
2019 4 0.01953945 -0.09399491 -0.07445546 0.002487749
2019 5 0.05721497 -0.06098535 -0.003770382 0.002380292
2019 6 0.04393037 -0.04999852 -0.006068146 0.002463765
2019 7 -0.2044617 -0.05233928 -0.256801 0.002485582
2019 8 -0.120966 -0.05548214 -0.1764481 0.002512515
2019 9 0.03749811 -0.07358143 -0.03608332 0.002492213
2019 10 0.0316877 -0.08968951 -0.05800181 0.002485361
2019 11 0.02090396 -0.09542145 -0.07451749 0.002545723
2019 12 0.01459765 -0.09868841 -0.08409076 0.002574761
2020 1 0.01149094 -0.09395032 -0.08245938 0.002579204
2020 2 0.01197037 -0.1037205 -0.09175016 0.002567936
2020 3 0.01190149 -0.09134411 -0.07944262 0.002115403
2020 4 0.02007626 -0.08413163 -0.06405537 0.001641405
2020 5 0.05669368 -0.06766474 -0.01097106 0.001625746
2020 6 -0.0007544347 -0.04894731 -0.04970175 0.001825921
2020 7 -0.2749235 -0.04480697 -0.3197305 0.001899097
2020 8 -0.09660291 -0.05276198 -0.1493649 0.001939202
2020 9 0.0434746 -0.07655904 -0.03308444 0.001961891
2020 10 0.03175005 -0.09086509 -0.05911504 0.001951571
2020 11 0.02088048 -0.09573666 -0.07485618 0.001984773
2020 12 0.01456002 -0.1005935 -0.08603344 0.002124117
