year month land ocean net foss
2015 1 3.906279 0.1280036 4.034282 0.2449993
2015 2 5.021714 0.1612489 5.182963 0.2556789
2015 3 5.219416 0.1330049 5.352421 0.2487287
2015 4 3.975854 0.1313004 4.107155 0.2486324
2015 5 2.03371 0.1452456 2.178956 0.2444999
2015 6 0.05804864 0.1753755 0.2334242 0.2520607
2015 7 -0.1753583 0.1949978 0.01963946 0.2496629
2015 8 -0.7623596 0.1581492 -0.6042104 0.2489273
2015 9 -0.2324009 0.1606389 -0.07176193 0.2529453
2015 10 1.610605 0.1436909 1.754296 0.2516755
2015 11 2.887299 0.121586 3.008885 0.2536048
2015 12 3.989568 0.1359384 4.125506 0.2520885
2016 1 5.187205 0.1454989 5.332704 0.2520142
2016 2 4.568918 0.1745711 4.743489 0.256347
2016 3 6.35989 0.1550513 6.514941 0.2570478
2016 4 4.534243 0.1559462 4.69019 0.25581
2016 5 2.460055 0.1478847 2.60794 0.2525157
2016 6 -0.3703792 0.1695934 -0.2007858 0.2598463
2016 7 -1.308349 0.1830977 -1.125251 0.2564721
2016 8 -3.241916 0.154606 -3.08731 0.2576456
2016 9 -0.8468503 0.1409623 -0.7058881 0.2608449
2016 10 1.295437 0.140734 1.436171 0.2590874
2016 11 2.8057 0.1231152 2.928815 0.2621776
2016 12 4.942397 0.1400655 5.082462 0.2595574
2017 1 4.01954 0.1410736 4.160613 0.2577525
2017 2 3.183606 0.1706587 3.354265 0.2686756
2017 3 5.864067 0.1384498 6.002517 0.2621219
2017 4 3.466845 0.1406256 3.607471 0.2604559
2017 5 0.8288425 0.1340873 0.9629299 0.2581556
2017 6 -0.7142683 0.1523677 -0.5619006 0.2647547
2017 7 -0.817587 0.1874766 -0.6301104 0.2614535
2017 8 -3.686282 0.150789 -3.535493 0.2625563
2017 9 -0.3953797 0.1321261 -0.2632537 0.2652195
2017 10 -0.909052 0.1420851 -0.7669669 0.2643514
2017 11 2.179169 0.1213647 2.300534 0.2670607
2017 12 2.894791 0.1386399 3.033431 0.2639772
2018 1 3.195781 0.1462692 3.34205 0.2644389
2018 2 4.416485 0.1970832 4.613568 0.2751901
2018 3 4.663076 0.1362716 4.799347 0.2680253
2018 4 2.596849 0.1218059 2.718655 0.2669741
2018 5 0.5125584 0.1319167 0.6444752 0.2642939
2018 6 -0.7326378 0.1590374 -0.5736004 0.2704889
2018 7 -1.016067 0.1794714 -0.8365956 0.2677956
2018 8 -1.137792 0.1579296 -0.9798622 0.2683413
2018 9 -1.364884 0.1388714 -1.226013 0.2707461
2018 10 0.4139994 0.1248446 0.538844 0.270978
2018 11 2.899423 0.1136066 3.01303 0.2732916
2018 12 3.457449 0.143857 3.601306 0.2703115
2019 1 3.62666 0.1549327 3.781592 0.2704523
2019 2 4.173969 0.1852586 4.359228 0.2814821
2019 3 3.922407 0.152553 4.07496 0.2736145
2019 4 6.424825 0.1367082 6.561534 0.2735338
2019 5 2.347345 0.1528639 2.500209 0.2702253
2019 6 0.1760396 0.1693856 0.3454252 0.2761319
2019 7 -1.019238 0.1854613 -0.8337764 0.2743151
2019 8 -1.379939 0.1523606 -1.227578 0.2739264
2019 9 -0.533774 0.1494629 -0.3843112 0.2772733
2019 10 -1.615891 0.1444421 -1.471449 0.2771676
2019 11 0.6549886 0.119938 0.7749266 0.2790755
2019 12 3.657173 0.1336752 3.790848 0.276961
2020 1 5.313315 0.1712744 5.484589 0.2708073
2020 2 6.220285 0.1995918 6.419877 0.2755976
2020 3 3.751275 0.1614233 3.912698 0.2443322
2020 4 3.765374 0.1207203 3.886095 0.2125454
2020 5 1.477904 0.1482892 1.626193 0.2151328
2020 6 -0.214028 0.180241 -0.03378701 0.2435561
2020 7 -1.478733 0.1911716 -1.287561 0.2471091
2020 8 -2.278479 0.154881 -2.123598 0.2440915
2020 9 -1.912519 0.1418217 -1.770697 0.255417
2020 10 0.02088351 0.1328774 0.1537609 0.2512828
2020 11 -0.4717923 0.1072273 -0.3645651 0.2476449
2020 12 1.837275 0.1317282 1.969003 0.250975
