lat camp flt x yday
5 21 1 -0.5471064 210
15 21 1 -0.7473455 210
25 21 1 -0.3365252 210
35 21 1 NA 210
5 22 1 -0.6952905 25
15 22 1 -0.1102219 25.69633
25 22 1 1.130688 25.9619
35 22 1 1.60179 25.85816
-5 23 1 NA 270
5 23 1 -1.967225 270
15 23 1 -3.668195 270
25 23 1 -3.597498 270
35 23 1 -3.732864 270.5467
5 24 1 0.8320631 113
15 24 1 2.356389 113
25 24 1 2.571959 113
35 24 1 NA 113.2032
35 21 2 NA 213
45 21 2 NA 213
65 21 2 NA 213.2224
75 21 2 -7.989288 213
35 22 2 0.7562741 28
45 22 2 1.929902 28
55 22 2 2.415402 28
65 22 2 3.199259 29
75 22 2 3.144705 29
35 23 2 -4.028055 273
45 23 2 -3.968195 273
55 23 2 -4.578613 273
65 23 2 -4.306913 274
75 23 2 -4.145218 273.8494
35 24 2 4.506536 116
45 24 2 4.878448 116
55 24 2 5.858295 116
65 24 2 6.834592 117
75 24 2 6.958934 116.4878
25 21 3 -0.8064673 216
35 21 3 -1.905045 215.4057
45 21 3 -2.524393 215
55 21 3 -3.084355 215
65 21 3 -9.201771 215
15 22 3 NA 32
25 22 3 1.432745 32
35 22 3 2.662901 32
45 22 3 3.365681 31
55 22 3 3.780792 31
65 22 3 3.00319 31
25 23 3 -3.741775 276.5235
35 23 3 -3.494026 276
45 23 3 -3.006783 276
55 23 3 -2.983567 276
65 23 3 NA 276
15 24 3 NA 119
25 24 3 4.668966 118.7636
35 24 3 5.155028 118
45 24 3 5.02147 118
55 24 3 4.305567 118
65 24 3 NA 118
-15 21 4 -0.8949265 219
-5 21 4 -0.5482357 218.5256
5 21 4 -0.4837414 218
15 21 4 -0.8848061 218
-15 22 4 -1.266738 34
-5 22 4 -1.056645 33.82339
5 22 4 -0.2516537 33
15 22 4 0.2688953 33
-15 23 4 -2.609436 279
-5 23 4 -2.415932 279
5 23 4 -2.557303 278.4583
15 23 4 -3.519257 278
-15 24 4 -2.184391 121
-5 24 4 -0.9708279 120.7323
5 24 4 0.4077835 120
15 24 4 2.138582 120
-45 21 5 -2.292516 220.8525
-35 21 5 -2.318486 220
-25 21 5 NA 220
-15 21 5 -0.9356339 220
-55 22 5 -3.989898 36
-45 22 5 -3.100122 35.98084
-35 22 5 -3.06818 35
-25 22 5 -1.898746 35
-15 22 5 -1.034022 35
-55 23 5 -2.573434 281
-45 23 5 -2.79268 280.9263
-35 23 5 -2.721346 280
-25 23 5 -2.535715 280
-15 23 5 -2.541975 280
-45 24 5 -3.046824 123
-35 24 5 -3.12528 122.4536
-25 24 5 -3.094624 122
-15 24 5 -2.829081 122
-65 21 6 -2.898569 225
-55 21 6 -2.744376 224.8609
-45 21 6 -2.531449 224
-65 22 6 -4.24555 40.63423
-55 22 6 -3.904065 40.48457
-45 22 6 NA 40
-65 23 6 -3.144557 283.4625
-55 23 6 -3.137796 283.4305
-45 23 6 -2.833076 283
-65 24 6 -3.671794 126
-55 24 6 -3.418291 125.5208
-45 24 6 -3.523488 125
-55 21 7 -2.728309 227
-45 21 7 -2.77922 227
-35 21 7 -1.881326 227
-25 21 7 -1.334461 227
-15 21 7 -0.9435861 227
-5 21 7 NA 227
-55 22 7 -3.846807 43
-45 22 7 -3.429113 43
-35 22 7 -3.194585 43
-25 22 7 -4.272636 43
-15 22 7 -4.149545 43
-5 22 7 -1.00941 43
-65 23 7 -3.142273 286
-55 23 7 -3.110536 286
-65 24 7 -3.844203 128
-55 24 7 -3.580375 128
-5 21 8 -0.7521977 229
5 21 8 -1.834993 229
15 21 8 -3.215202 229
25 21 8 -3.191122 229
35 21 8 -3.381356 229
-5 22 8 1.084698 45
5 22 8 2.503606 45
15 22 8 0.8496753 45
25 22 8 1.000714 45
35 22 8 1.473416 45
-55 23 8 NA 289
-45 23 8 -2.674179 289
-35 23 8 -2.622533 289
-25 23 8 -2.345443 289
-15 23 8 -1.640124 289
-5 23 8 -0.1811333 289
-55 24 8 -3.609369 131
-45 24 8 -3.327156 131
-35 24 8 -2.888593 131
-25 24 8 -2.574914 131
-15 24 8 -2.364126 131
-5 24 8 -1.217283 131
35 21 9 NA 232
45 21 9 -5.122498 232
55 21 9 NA 232
65 21 9 -7.714547 232
75 21 9 -7.976626 232
35 22 9 1.68798 48
45 22 9 1.513659 48
55 22 9 2.47021 48
65 22 9 3.456789 48
75 22 9 2.988112 48
-5 23 9 -1.080342 291
5 23 9 -3.142897 291
15 23 9 -3.335395 291
-5 24 9 -1.42446 133
5 24 9 0.8630107 133
15 24 9 2.176504 133
25 24 9 2.938327 133
35 24 9 3.666474 133
65 22 10 4.692457 49
75 22 10 3.829916 49
5 23 10 -3.499508 292
15 23 10 -3.296779 292
25 23 10 -3.018995 292
35 23 10 -2.782689 292
35 24 10 4.457883 136
45 24 10 4.3665 136
55 24 10 4.835512 136
65 24 10 5.583648 136
35 22 11 2.056679 51
45 22 11 2.887929 51
55 22 11 3.190385 51
65 22 11 3.059788 51
35 23 11 -2.910753 295
45 23 11 -2.4359 295
55 23 11 -2.053484 295
65 23 11 -2.102594 295
45 24 11 5.210159 137
65 24 11 5.799871 137
45 23 12 -2.266018 297
55 23 12 0.522841 297
65 23 12 -2.67093 297
75 23 12 -2.587579 297
45 24 12 4.497642 138
55 24 12 NA 138
65 24 12 6.100536 138.286
75 24 12 5.789263 138
35 23 13 -2.574622 299.0926
45 23 13 -2.595587 299
55 23 13 -2.613912 299
65 23 13 -2.479392 299
35 24 13 3.730889 140
45 24 13 4.42399 140
55 24 13 5.366858 140
65 24 13 5.699568 140
