year month land ocean net foss
2015 1 -4.694729 0.261307 -4.433422 0.1751815
2015 2 -2.214551 0.2552334 -1.959317 0.1842921
2015 3 -1.90629 0.26413 -1.64216 0.1788254
2015 4 -2.093633 0.324614 -1.769019 0.1798009
2015 5 0.7369273 0.290038 1.026965 0.1759468
2015 6 0.9291791 0.2979369 1.227116 0.1825118
2015 7 1.181835 0.2631629 1.444998 0.1819633
2015 8 -1.822454 0.2532877 -1.569166 0.183194
2015 9 3.203867 0.3103758 3.514243 0.1873888
2015 10 4.062868 0.325259 4.388127 0.1867407
2015 11 2.681101 0.2574837 2.938585 0.1840281
2015 12 -0.02370293 0.2402977 0.2165947 0.1847741
2016 1 1.022492 0.2736189 1.296111 0.1892095
2016 2 -0.6348885 0.3256436 -0.3092449 0.1934146
2016 3 -0.7436693 0.2568955 -0.4867737 0.1938038
2016 4 0.7647984 0.2398463 1.004645 0.1941332
2016 5 0.755802 0.295184 1.050986 0.1906017
2016 6 1.281988 0.2933693 1.575358 0.1974764
2016 7 0.4449024 0.2398596 0.684762 0.1960993
2016 8 0.08412189 0.2543925 0.3385144 0.1988988
2016 9 1.73376 0.2723786 2.006139 0.2027324
2016 10 1.947601 0.3349215 2.282522 0.201757
2016 11 1.878102 0.2387455 2.116847 0.1995398
2016 12 -1.038094 0.2304473 -0.8076469 0.1995835
2017 1 -1.566226 0.180187 -1.386039 0.1824929
2017 2 -3.318786 0.2825046 -3.036281 0.1919889
2017 3 -1.37555 0.2126498 -1.162901 0.1865485
2017 4 -2.571747 -0.02141277 -2.593159 0.1865296
2017 5 1.875204 0.2949336 2.170137 0.1839281
2017 6 1.832391 0.2922862 2.124678 0.1900154
2017 7 0.5157793 0.2591702 0.7749496 0.1888065
2017 8 -2.510117 0.2367421 -2.273375 0.191478
2017 9 -0.2868782 0.3130148 0.02613655 0.1947109
2017 10 4.392431 0.3040098 4.696441 0.1944497
2017 11 2.468275 0.3041247 2.7724 0.1920466
2017 12 -0.1374314 0.1327939 -0.004637489 0.1916511
2018 1 -3.578063 0.3067329 -3.27133 0.1945313
2018 2 -1.224048 0.2209514 -1.003096 0.2043066
2018 3 -1.818642 0.2685981 -1.550044 0.1979908
2018 4 -2.172875 0.2535349 -1.91934 0.1987495
2018 5 -1.478046 0.3169564 -1.16109 0.1955589
2018 6 0.687255 0.26675 0.954005 0.2017219
2018 7 1.271403 0.255361 1.526764 0.2011574
2018 8 0.4175594 0.2655403 0.6830997 0.2035375
2018 9 0.3662003 0.295304 0.6615042 0.2067361
2018 10 1.9494 0.3229087 2.272308 0.207293
2018 11 3.195275 0.2817441 3.477019 0.2041559
2018 12 -0.9437491 0.2463622 -0.697387 0.2038965
2019 1 -3.001373 0.2637635 -2.737609 0.2046574
2019 2 -1.715442 0.219936 -1.495506 0.2149966
2019 3 0.06759433 0.2710927 0.338687 0.2077654
2019 4 -2.555231 0.09102548 -2.464205 0.2094837
2019 5 0.8177155 0.266588 1.084304 0.205523
2019 6 1.826392 0.3385806 2.164972 0.2117857
2019 7 -0.0006666166 0.2246038 0.2239372 0.2119813
2019 8 -0.6337849 0.2610387 -0.3727462 0.2136424
2019 9 1.430457 0.337626 1.768083 0.2178585
2019 10 2.262565 0.3313349 2.5939 0.2180879
2019 11 1.566602 0.2880381 1.85464 0.2143202
2019 12 0.8598883 0.2664387 1.126327 0.2149032
2020 1 -0.5640373 0.2978509 -0.2661864 0.2073572
2020 2 -2.011104 0.3214998 -1.689604 0.2097752
2020 3 -1.746835 0.2783031 -1.468532 0.1876821
2020 4 -1.710546 0.2837137 -1.426832 0.1662046
2020 5 -0.4154765 0.2912848 -0.1241917 0.1664094
2020 6 0.2716534 0.286784 0.5584374 0.1911064
2020 7 0.5404927 0.2765853 0.817078 0.1932679
2020 8 1.058923 0.2885477 1.347471 0.192101
2020 9 2.265385 0.3198662 2.585252 0.2020662
2020 10 1.867021 0.3507625 2.217784 0.2007449
2020 11 3.523229 0.2963254 3.819555 0.194332
2020 12 -0.8362647 0.3122064 -0.5240582 0.1998846
