year month land ocean net foss
2015 1 7.216092 -1.600853 5.615239 8.251889
2015 2 3.664278 -1.803155 1.861123 8.488696
2015 3 5.240067 -1.736922 3.503145 8.248429
2015 4 1.952523 -1.512679 0.4398436 7.97089
2015 5 -10.76263 -1.369667 -12.1323 7.692349
2015 6 -25.26926 -1.207138 -26.4764 7.958707
2015 7 -30.12404 -0.600908 -30.72494 7.883931
2015 8 -13.065 -0.5431409 -13.60814 7.901762
2015 9 1.606591 -0.386613 1.219978 8.004349
2015 10 8.819574 -1.019346 7.800228 8.045473
2015 11 7.960665 -1.958766 6.0019 8.4255
2015 12 6.98439 -1.938295 5.046094 8.829492
2016 1 6.088593 -2.162752 3.925841 8.244765
2016 2 5.049931 -2.142949 2.906982 8.228707
2016 3 5.066691 -1.797249 3.269441 8.281971
2016 4 2.48201 -1.665198 0.816812 7.96446
2016 5 -11.75589 -1.40265 -13.15854 7.72543
2016 6 -29.37778 -1.245423 -30.6232 7.972372
2016 7 -29.85114 -0.5037243 -30.35487 7.859618
2016 8 -13.43349 -0.3800987 -13.81359 7.944576
2016 9 2.95583 -0.6298026 2.326028 8.010408
2016 10 10.32998 -0.8027588 9.527217 8.043532
2016 11 6.565132 -1.343025 5.222107 8.457069
2016 12 8.323104 -1.338887 6.984217 8.814729
2017 1 5.061277 -1.465526 3.595751 8.370067
2017 2 4.408972 -1.522262 2.88671 8.610742
2017 3 5.640326 -1.588042 4.052284 8.390353
2017 4 3.554806 -1.319777 2.235029 8.060561
2017 5 -11.93836 -1.47443 -13.41279 7.851097
2017 6 -24.10022 -1.134289 -25.23451 8.079198
2017 7 -30.5699 -0.4227179 -30.99262 7.968325
2017 8 -18.79913 -0.1757397 -18.97487 8.052816
2017 9 5.032284 -0.560868 4.471416 8.103267
2017 10 8.438636 -0.8097005 7.628936 8.171595
2017 11 7.685234 -1.223231 6.462003 8.570567
2017 12 6.25946 -1.415069 4.844391 8.910147
2018 1 5.84537 -1.209634 4.635736 8.568912
2018 2 4.260936 -1.790991 2.469945 8.794387
2018 3 5.992156 -1.666353 4.325803 8.554491
2018 4 4.218306 -1.642203 2.576103 8.251204
2018 5 -10.30098 -1.346466 -11.64745 8.023364
2018 6 -27.22259 -1.07479 -28.29738 8.239234
2018 7 -29.18214 -0.1569685 -29.33911 8.157986
2018 8 -17.08004 -0.13171 -17.21175 8.225498
2018 9 2.859691 -0.5058268 2.353865 8.263551
2018 10 10.06521 -0.8274166 9.237796 8.367481
2018 11 8.438259 -1.268823 7.169436 8.750023
2018 12 6.398623 -1.653404 4.745219 9.105181
2019 1 5.078 -1.736813 3.341188 8.574063
2019 2 4.134716 -1.916282 2.218434 8.799775
2019 3 4.671465 -1.698102 2.973363 8.548598
2019 4 3.051478 -1.622218 1.42926 8.289379
2019 5 -12.44711 -1.443431 -13.89054 8.04083
2019 6 -25.68411 -1.232909 -26.91702 8.247494
2019 7 -29.67429 -0.4702455 -30.14454 8.198423
2019 8 -15.78582 -0.3036727 -16.08949 8.230725
2019 9 1.423883 -0.3846311 1.039252 8.304835
2019 10 8.774332 -1.048893 7.725439 8.390649
2019 11 7.437178 -1.820694 5.616485 8.753193
2019 12 6.44676 -2.049547 4.397213 9.145222
2020 1 6.725878 -2.134569 4.591309 8.258667
2020 2 5.773424 -2.152046 3.621378 8.028179
2020 3 5.688472 -1.805501 3.88297 7.710841
2020 4 5.409463 -1.602463 3.807 7.012341
2020 5 -9.262871 -1.304853 -10.56772 7.031215
2020 6 -26.57343 -0.9345827 -27.50801 7.745194
2020 7 -32.27517 -0.3904443 -32.66562 7.741729
2020 8 -14.61322 -0.4023994 -15.01562 7.889785
2020 9 3.135037 -0.6862069 2.44883 8.068989
2020 10 12.04476 -0.8518266 11.19293 8.093762
2020 11 10.63446 -1.248487 9.385969 8.349888
2020 12 6.25885 -1.374702 4.884148 9.12035
