year month land ocean net foss
2015 1 5.994004 -2.997857 2.996147 8.656976
2015 2 2.280741 -3.38185 -1.10111 8.923629
2015 3 5.591122 -2.947773 2.64335 8.660329
2015 4 2.65579 -2.709748 -0.05395837 8.390098
2015 5 -10.39614 -2.878852 -13.27499 8.111184
2015 6 -25.25425 -3.007713 -28.26197 8.395776
2015 7 -29.97254 -2.357535 -32.33008 8.317251
2015 8 -13.46755 -2.400743 -15.86829 8.33631
2015 9 1.085408 -2.166066 -1.080658 8.445909
2015 10 9.26084 -2.826905 6.433935 8.477225
2015 11 8.338205 -3.621391 4.716814 8.862518
2015 12 6.757701 -3.668794 3.088907 9.254607
2016 1 4.629891 -3.740715 0.889176 8.653587
2016 2 4.177603 -3.606919 0.5706838 8.654733
2016 3 4.783919 -3.094732 1.689187 8.699523
2016 4 2.656784 -3.059611 -0.4028269 8.387591
2016 5 -10.2066 -2.86595 -13.07255 8.149834
2016 6 -28.93651 -2.57722 -31.51373 8.414581
2016 7 -30.43155 -2.44162 -32.87317 8.296068
2016 8 -15.00551 -2.474905 -17.48041 8.38592
2016 9 1.596857 -2.481312 -0.8844557 8.45692
2016 10 9.60589 -2.892628 6.713262 8.479166
2016 11 5.244929 -3.390812 1.854117 8.900313
2016 12 7.895758 -3.262979 4.632779 9.243781
2017 1 3.836852 -3.187315 0.6495364 8.777089
2017 2 2.655402 -3.280568 -0.6251665 9.048277
2017 3 3.947108 -3.074451 0.8726571 8.805184
2017 4 3.785181 -2.675112 1.110069 8.48009
2017 5 -12.02948 -2.832288 -14.86177 8.273922
2017 6 -23.88351 -2.944423 -26.82794 8.518714
2017 7 -30.58691 -2.358067 -32.94498 8.402178
2017 8 -19.21409 -2.064286 -21.27837 8.491594
2017 9 4.695779 -2.259996 2.435784 8.546336
2017 10 7.557559 -2.599454 4.958105 8.605476
2017 11 6.783316 -3.091211 3.692106 9.01125
2017 12 5.396171 -3.217748 2.178423 9.335563
2018 1 5.045481 -2.626552 2.418929 8.976016
2018 2 3.774648 -3.273541 0.5011075 9.231081
2018 3 5.368014 -2.94925 2.418763 8.967436
2018 4 4.389779 -3.032338 1.357441 8.670447
2018 5 -10.08847 -2.809495 -12.89796 8.44524
2018 6 -26.87037 -2.904875 -29.77524 8.67697
2018 7 -29.06316 -2.164686 -31.22785 8.591611
2018 8 -17.27309 -2.061305 -19.33439 8.663099
2018 9 2.894618 -2.252728 0.6418905 8.704536
2018 10 9.682587 -2.61462 7.067967 8.801407
2018 11 7.989154 -2.758372 5.230783 9.18961
2018 12 6.094286 -3.435453 2.658833 9.529523
2019 1 4.352862 -3.439343 0.9135194 8.98519
2019 2 3.212372 -3.70956 -0.4971874 9.240892
2019 3 3.917924 -3.021594 0.8963297 8.964415
2019 4 3.806807 -2.785873 1.020934 8.713832
2019 5 -12.07567 -2.653327 -14.72899 8.466773
2019 6 -25.20829 -2.638343 -27.84664 8.688566
2019 7 -29.59003 -2.186666 -31.77669 8.637478
2019 8 -16.80352 -2.20139 -19.00491 8.671798
2019 9 1.445462 -1.899519 -0.4540562 8.750889
2019 10 8.472583 -2.921907 5.550676 8.828767
2019 11 7.310147 -3.59968 3.710467 9.196216
2019 12 5.506794 -3.815022 1.691772 9.57437
2020 1 4.714983 -3.745897 0.9690864 8.679617
2020 2 4.604923 -3.730477 0.8744454 8.457677
2020 3 5.308794 -3.186709 2.122085 8.085311
2020 4 5.166536 -3.207035 1.959501 7.344425
2020 5 -9.2346 -3.048453 -12.28305 7.372794
2020 6 -26.19545 -2.911193 -29.10665 8.141753
2020 7 -31.60728 -2.444683 -34.05196 8.139084
2020 8 -14.49484 -2.375348 -16.87019 8.282947
2020 9 3.106216 -2.480411 0.6258045 8.479585
2020 10 12.75574 -2.495192 10.26054 8.49696
2020 11 9.811095 -2.874832 6.936263 8.753376
2020 12 4.680395 -3.261416 1.418979 9.522416
