year month land ocean net foss
2015 1 -1.451297 -0.01733246 -1.46863 0.2356733
2015 2 -1.29357 -0.006164042 -1.299734 0.2532219
2015 3 -0.2869097 0.00361372 -0.283296 0.2372777
2015 4 -0.1699253 -0.04317638 -0.2131017 0.2423079
2015 5 -0.1738218 -0.170828 -0.3446499 0.2422721
2015 6 -0.261813 -0.2873271 -0.5491401 0.2538848
2015 7 0.02958221 -0.4299438 -0.4003615 0.2509241
2015 8 -0.2273416 -0.5232879 -0.7506295 0.2513851
2015 9 -0.05946511 -0.4777846 -0.5372497 0.2564852
2015 10 0.6407215 -0.3521175 0.288604 0.2525893
2015 11 0.3599153 -0.1773358 0.1825795 0.2551085
2015 12 -0.2761024 -0.09361603 -0.3697184 0.2469179
2016 1 -1.232943 0.02305676 -1.209886 0.2369094
2016 2 -1.200004 0.0669343 -1.13307 0.2471038
2016 3 -0.5294828 0.007169398 -0.5223134 0.2396524
2016 4 -0.4193207 -0.0545944 -0.4739151 0.2436659
2016 5 0.4943611 -0.1639383 0.3304228 0.2446153
2016 6 -0.08526666 -0.2364132 -0.3216798 0.2559884
2016 7 -0.7626292 -0.3948951 -1.157524 0.2517485
2016 8 -1.208178 -0.5323867 -1.740565 0.2544982
2016 9 -0.7370405 -0.4588567 -1.195897 0.2584648
2016 10 -0.4560887 -0.3504301 -0.8065189 0.2538704
2016 11 -0.3636676 -0.2474822 -0.6111498 0.2579171
2016 12 -0.5670282 -0.1398236 -0.7068518 0.2482644
2017 1 -0.9599178 -0.0003842548 -0.9603021 0.2391417
2017 2 -1.754539 -0.04580555 -1.800345 0.2572571
2017 3 -1.721949 -0.02183396 -1.743783 0.2413977
2017 4 -0.3678992 -0.100154 -0.4680532 0.2448072
2017 5 -0.4885138 -0.1504902 -0.6390041 0.2470953
2017 6 0.006733625 -0.3285718 -0.3218381 0.257838
2017 7 -0.197778 -0.4134513 -0.6112293 0.2535984
2017 8 -0.2137609 -0.4982519 -0.7120128 0.2564041
2017 9 0.1127102 -0.4381258 -0.3254156 0.2598481
2017 10 -0.3263171 -0.2909109 -0.617228 0.2562612
2017 11 -0.4964097 -0.2412811 -0.7376908 0.2598325
2017 12 -0.6509836 -0.1859983 -0.8369819 0.249429
2018 1 -0.9141847 0.008199819 -0.9059849 0.2391786
2018 2 -0.849038 0.03092775 -0.8181102 0.2567087
2018 3 -1.035793 -0.0367509 -1.072544 0.2401233
2018 4 -0.338551 -0.07944784 -0.4179989 0.2445719
2018 5 -0.1171114 -0.162675 -0.2797864 0.246428
2018 6 0.1007078 -0.3256718 -0.224964 0.2566811
2018 7 -0.06057673 -0.4270227 -0.4875994 0.2534002
2018 8 -0.2335566 -0.4698737 -0.7034302 0.2556063
2018 9 0.2579265 -0.4549175 -0.196991 0.2584218
2018 10 0.0366012 -0.3438993 -0.3072981 0.2562492
2018 11 -0.6779394 -0.1958968 -0.8738362 0.2591067
2018 12 -0.1914543 -0.147645 -0.3390993 0.248659
2019 1 -0.5544065 -0.01725172 -0.5716582 0.2414124
2019 2 -0.5707788 -0.047394 -0.6181728 0.2591337
2019 3 -1.055348 -0.03108927 -1.086437 0.2416137
2019 4 -0.1049519 -0.07424933 -0.1792012 0.2475228
2019 5 -0.3208011 -0.1550455 -0.4758466 0.2486591
2019 6 0.03431595 -0.2455055 -0.2111895 0.2583765
2019 7 -0.2280212 -0.3977795 -0.6258007 0.256448
2019 8 -0.9849781 -0.5370345 -1.522013 0.2574471
2019 9 0.2610024 -0.4486322 -0.1876298 0.2612756
2019 10 -0.03493231 -0.3883569 -0.4232892 0.2586081
2019 11 0.1185638 -0.2013453 -0.08278149 0.2609652
2019 12 -0.5455085 -0.1127744 -0.658283 0.2513829
2020 1 -1.76838 0.0303375 -1.738043 0.2508444
2020 2 -1.163358 0.07302851 -1.090329 0.2515879
2020 3 -0.6987609 0.01394509 -0.6848159 0.2175463
2020 4 -0.6995582 -0.07111566 -0.7706738 0.1913057
2020 5 -0.2091273 -0.1701045 -0.3792318 0.1979125
2020 6 0.2001163 -0.3059709 -0.1058547 0.2324646
2020 7 0.4603498 -0.5005151 -0.04016532 0.2308202
2020 8 0.3047144 -0.5344767 -0.2297623 0.2278511
2020 9 0.4730632 -0.4582525 0.01481069 0.2390561
2020 10 1.173106 -0.3370458 0.8360599 0.2394487
2020 11 -0.2978211 -0.2415561 -0.5393773 0.2406201
2020 12 -0.9612468 -0.1412285 -1.102475 0.2393538
