year month land ocean net foss
2015 1 -0.07939761 -0.7339961 -0.8133937 0.007197368
2015 2 -0.03877261 -0.6579211 -0.6966937 0.007698465
2015 3 0.01492079 -0.580696 -0.5657752 0.00753342
2015 4 0.07525236 -0.6587104 -0.583458 0.007574838
2015 5 0.1603082 -0.5884539 -0.4281458 0.007640349
2015 6 0.1350552 -0.6526407 -0.5175855 0.007911308
2015 7 0.1284389 -0.6773672 -0.5489284 0.007931016
2015 8 0.105795 -0.6009901 -0.4951951 0.007914938
2015 9 0.0251619 -0.6436491 -0.6184872 0.007926407
2015 10 -0.0481054 -0.7064152 -0.7545206 0.007687529
2015 11 -0.1470409 -0.7543891 -0.90143 0.007793063
2015 12 -0.1259406 -0.7681176 -0.8940582 0.007658812
2016 1 -0.1163294 -0.7206864 -0.8370158 0.007183963
2016 2 -0.05448793 -0.6669072 -0.7213952 0.007458632
2016 3 0.005543367 -0.5748328 -0.5692895 0.007546891
2016 4 0.06867323 -0.6928377 -0.6241645 0.007556512
2016 5 0.1263323 -0.6952813 -0.568949 0.007647655
2016 6 0.1229912 -0.71577 -0.5927788 0.007906728
2016 7 0.1269531 -0.6974752 -0.5705221 0.007896701
2016 8 0.09564554 -0.6489767 -0.5533312 0.007936622
2016 9 0.01629779 -0.6666774 -0.6503796 0.007919765
2016 10 -0.104516 -0.8151912 -0.9197072 0.007671128
2016 11 -0.1784059 -0.8346067 -1.013013 0.007805532
2016 12 -0.1529393 -0.806095 -0.9590344 0.007642531
2017 1 -0.154744 -0.7528103 -0.9075544 0.007161186
2017 2 -0.03192477 -0.6511037 -0.6830285 0.007660753
2017 3 0.008427709 -0.5602185 -0.5517907 0.007507482
2017 4 0.04610839 -0.7267665 -0.6806581 0.007508606
2017 5 0.1181184 -0.7097369 -0.5916185 0.007625878
2017 6 0.1199342 -0.7320091 -0.6120749 0.007866995
2017 7 0.1121636 -0.7845395 -0.6723759 0.007862321
2017 8 0.07950122 -0.7161283 -0.6366271 0.007900204
2017 9 0.01027953 -0.700721 -0.6904415 0.007868456
2017 10 -0.1288501 -0.9306192 -1.059469 0.007645181
2017 11 -0.2423126 -0.9800371 -1.22235 0.007767406
2017 12 -0.2389255 -0.9222645 -1.16119 0.007591334
2018 1 -0.1983831 -0.8240083 -1.022391 0.00711818
2018 2 0.1336958 -0.5362739 -0.4025781 0.007600518
2018 3 0.08048239 -0.5235084 -0.443026 0.007436702
2018 4 0.08407712 -0.6495642 -0.5654871 0.007458929
2018 5 0.143297 -0.6176548 -0.4743578 0.007565897
2018 6 0.1370338 -0.6501266 -0.5130928 0.007791045
2018 7 0.1341051 -0.6885176 -0.5544125 0.007809877
2018 8 0.1103461 -0.6544215 -0.5440754 0.007833913
2018 9 0.01262873 -0.7107541 -0.6981253 0.007793364
2018 10 -0.09104285 -0.8331944 -0.9242373 0.007598292
2018 11 -0.2157418 -0.9564848 -1.172227 0.007702633
2018 12 -0.08249819 -0.8093462 -0.8918444 0.00753203
2019 1 -0.09932356 -0.7281883 -0.8275118 0.007191666
2019 2 -0.03247855 -0.6440473 -0.6765259 0.007683631
2019 3 0.07473061 -0.5166021 -0.4418715 0.007498527
2019 4 0.08809948 -0.6475313 -0.5594318 0.007553987
2019 5 0.1516257 -0.6172682 -0.4656425 0.007648115
2019 6 0.1334252 -0.6519552 -0.51853 0.007867876
2019 7 0.1301229 -0.6646831 -0.5345603 0.007916437
2019 8 0.1145111 -0.5835599 -0.4690488 0.007908436
2019 9 0.03587521 -0.6445703 -0.6086951 0.007888585
2019 10 -0.07984421 -0.8347791 -0.9146233 0.007678748
2019 11 -0.1736894 -0.885303 -1.058992 0.007772733
2019 12 -0.1711847 -0.8040097 -0.9751943 0.007621308
2020 1 0.1086505 -0.613534 -0.5048835 0.007201528
2020 2 0.1542333 -0.5308889 -0.3766555 0.007499242
2020 3 0.1182604 -0.4889494 -0.370689 0.006644413
2020 4 0.1316609 -0.6047964 -0.4731354 0.005789635
2020 5 0.1249533 -0.6922589 -0.5673057 0.005990527
2020 6 0.1236116 -0.7060901 -0.5824785 0.006817772
2020 7 0.1165056 -0.7436064 -0.6271008 0.007004017
2020 8 0.09278051 -0.6659786 -0.5731981 0.006927685
2020 9 0.02705588 -0.6403232 -0.6132674 0.007121475
2020 10 -0.0465909 -0.7129498 -0.7595407 0.006800084
2020 11 -0.1442902 -0.7610361 -0.9053262 0.006758659
2020 12 -0.138791 -0.7821902 -0.9209812 0.006767619
