year month land ocean net foss
2015 1 4.579209 -3.679267 0.8999416 8.656976
2015 2 3.875256 -3.731854 0.1434013 8.923629
2015 3 5.08945 -3.248986 1.840464 8.660329
2015 4 5.10859 -3.247485 1.861105 8.390098
2015 5 -4.365711 -3.090671 -7.456382 8.111184
2015 6 -18.93263 -2.971276 -21.90391 8.395776
2015 7 -24.96972 -2.439495 -27.40922 8.317251
2015 8 -13.84374 -2.087688 -15.93143 8.33631
2015 9 0.7090396 -2.161771 -1.452732 8.445909
2015 10 6.852869 -2.858718 3.99415 8.477225
2015 11 6.976729 -3.579012 3.397717 8.862518
2015 12 5.561709 -3.877826 1.683884 9.254607
2016 1 4.564021 -3.679267 0.8847541 8.653587
2016 2 3.873942 -3.731854 0.1420881 8.654733
2016 3 5.046013 -3.248986 1.797027 8.699523
2016 4 5.099169 -3.247485 1.851684 8.387591
2016 5 -4.209487 -3.090671 -7.300158 8.149834
2016 6 -19.43595 -2.971276 -22.40722 8.414581
2016 7 -25.55856 -2.439495 -27.99805 8.296068
2016 8 -13.97979 -2.087688 -16.06748 8.38592
2016 9 0.6757957 -2.161771 -1.485976 8.45692
2016 10 6.839381 -2.858718 3.980662 8.479166
2016 11 6.983555 -3.579012 3.404543 8.900313
2016 12 5.601316 -3.877826 1.72349 9.243781
2017 1 4.641566 -3.679267 0.9622988 8.777089
2017 2 3.879055 -3.731854 0.1472009 9.048277
2017 3 5.088739 -3.248986 1.839753 8.805184
2017 4 5.104041 -3.247485 1.856556 8.48009
2017 5 -4.396845 -3.090671 -7.487516 8.273922
2017 6 -19.41934 -2.971276 -22.39061 8.518714
2017 7 -25.45217 -2.439495 -27.89166 8.402178
2017 8 -13.43749 -2.087688 -15.52518 8.491594
2017 9 0.8766863 -2.161771 -1.285085 8.546336
2017 10 6.902916 -2.858718 4.044198 8.605476
2017 11 6.999483 -3.579012 3.420472 9.01125
2017 12 5.584402 -3.877826 1.706576 9.335563
2018 1 4.579947 -3.679267 0.9006801 8.976016
2018 2 3.859693 -3.731854 0.1278386 9.231081
2018 3 5.051138 -3.248986 1.802152 8.967436
2018 4 5.122721 -3.247485 1.875236 8.670447
2018 5 -4.36918 -3.090671 -7.459851 8.44524
2018 6 -19.4093 -2.971276 -22.38057 8.67697
2018 7 -25.57163 -2.439495 -28.01112 8.591611
2018 8 -13.6498 -2.087688 -15.73749 8.663099
2018 9 0.6972636 -2.161771 -1.464508 8.704536
2018 10 6.849674 -2.858718 3.990955 8.801407
2018 11 6.991951 -3.579012 3.41294 9.18961
2018 12 5.571269 -3.877826 1.693443 9.529523
2019 1 4.565246 -3.679267 0.8859791 8.98519
2019 2 3.881077 -3.731854 0.1492223 9.240892
2019 3 5.0585 -3.248986 1.809514 8.964415
2019 4 5.142421 -3.247485 1.894936 8.713832
2019 5 -4.167721 -3.090671 -7.258391 8.466773
2019 6 -19.3108 -2.971276 -22.28208 8.688566
2019 7 -25.17979 -2.439495 -27.61929 8.637478
2019 8 -13.98761 -2.087688 -16.0753 8.671798
2019 9 0.7175082 -2.161771 -1.444263 8.750889
2019 10 6.907014 -2.858718 4.048296 8.828767
2019 11 6.998398 -3.579012 3.419387 9.196216
2019 12 5.569622 -3.877826 1.691796 9.57437
2020 1 4.56346 -3.679267 0.8841932 8.679617
2020 2 3.888403 -3.731854 0.1565486 8.457677
2020 3 5.121069 -3.248986 1.872084 8.085311
2020 4 5.175371 -3.247485 1.927885 7.344425
2020 5 -4.39225 -3.090671 -7.482921 7.372794
2020 6 -19.36723 -2.971276 -22.33851 8.141753
2020 7 -25.64921 -2.439495 -28.08871 8.139084
2020 8 -13.83728 -2.087688 -15.92497 8.282947
2020 9 1.394155 -2.161771 -0.7676169 8.479585
2020 10 7.076187 -2.858718 4.217468 8.49696
2020 11 7.016067 -3.579012 3.437055 8.753376
2020 12 5.568054 -3.877826 1.690228 9.522416
