year month land ocean net foss
2015 1 0.1428207 -0.2418413 -0.0990206 0.1607489
2015 2 0.129787 -0.2067054 -0.07691833 0.1724682
2015 3 0.04739327 -0.2413788 -0.1939855 0.1655968
2015 4 0.01294997 -0.335502 -0.322552 0.1678315
2015 5 -0.009494225 -0.4862231 -0.4957173 0.1674503
2015 6 -0.01206078 -0.7165178 -0.7285786 0.1737673
2015 7 0.007144306 -0.8484461 -0.8413018 0.1729884
2015 8 -0.1635008 -0.846788 -1.010289 0.1737585
2015 9 -0.3452265 -0.7759538 -1.12118 0.175636
2015 10 -0.4635306 -0.6425337 -1.106064 0.1699916
2015 11 -0.4135227 -0.511725 -0.9252477 0.1726149
2015 12 -0.1244843 -0.3855362 -0.5100205 0.1690444
2016 1 0.1322761 -0.2418413 -0.1095651 0.1632465
2016 2 0.1184624 -0.2067054 -0.08824297 0.1699395
2016 3 0.04353401 -0.2413788 -0.1978448 0.1688405
2016 4 0.00402187 -0.335502 -0.3314802 0.1703996
2016 5 -0.01192657 -0.4862231 -0.4981497 0.1706512
2016 6 -0.01308875 -0.7165178 -0.7296066 0.1767913
2016 7 0.005961408 -0.8484461 -0.8424847 0.1753164
2016 8 -0.1611815 -0.846788 -1.00797 0.1774001
2016 9 -0.3447115 -0.7759538 -1.120665 0.1786
2016 10 -0.4643778 -0.6425337 -1.106911 0.1725956
2016 11 -0.4113595 -0.511725 -0.9230846 0.1760005
2016 12 -0.09045699 -0.3855362 -0.4759931 0.1716354
2017 1 0.1992718 -0.2418413 -0.04256943 0.1592635
2017 2 0.1243121 -0.2067054 -0.08239327 0.1710845
2017 3 0.04980974 -0.2413788 -0.191569 0.1644428
2017 4 0.005629467 -0.335502 -0.3298726 0.1657354
2017 5 -0.009243678 -0.4862231 -0.4954668 0.1666402
2017 6 -0.00995041 -0.7165178 -0.7264682 0.1723177
2017 7 0.009995233 -0.8484461 -0.8384509 0.1709332
2017 8 -0.1618645 -0.846788 -1.008653 0.1729941
2017 9 -0.3445016 -0.7759538 -1.120455 0.1738551
2017 10 -0.4606404 -0.6425337 -1.103174 0.1685054
2017 11 -0.406241 -0.511725 -0.917966 0.1715919
2017 12 -0.1225361 -0.3855362 -0.5080723 0.166917
2018 1 0.1449412 -0.2418413 -0.09690008 0.1593526
2018 2 0.124701 -0.2067054 -0.08200441 0.1708535
2018 3 0.04748714 -0.2413788 -0.1938916 0.1639063
2018 4 0.007392373 -0.335502 -0.3281096 0.1657366
2018 5 -0.009294 -0.4862231 -0.4955171 0.166421
2018 6 -0.01120683 -0.7165178 -0.7277247 0.1717742
2018 7 0.007778324 -0.8484461 -0.8406678 0.1709574
2018 8 -0.1587663 -0.846788 -1.005554 0.1726837
2018 9 -0.3445678 -0.7759538 -1.120522 0.1732778
2018 10 -0.4577071 -0.6425337 -1.100241 0.1686104
2018 11 -0.4041941 -0.511725 -0.9159191 0.1712887
2018 12 -0.1238 -0.3855362 -0.5093361 0.1666753
2019 1 0.1321521 -0.2418413 -0.1096892 0.1610955
2019 2 0.1260435 -0.2067054 -0.08066186 0.1727969
2019 3 0.0436263 -0.2413788 -0.1977525 0.1652549
2019 4 0.005020687 -0.335502 -0.3304813 0.1679252
2019 5 -0.01010503 -0.4862231 -0.4963281 0.1682015
2019 6 -0.01293217 -0.7165178 -0.72945 0.1733684
2019 7 0.01030965 -0.8484461 -0.8381365 0.1732581
2019 8 -0.1598321 -0.846788 -1.00662 0.1742695
2019 9 -0.3401471 -0.7759538 -1.116101 0.1754257
2019 10 -0.4616947 -0.6425337 -1.104228 0.1703908
2019 11 -0.4093764 -0.511725 -0.9211014 0.1728267
2019 12 -0.1209724 -0.3855362 -0.5065086 0.1686956
2020 1 0.1303601 -0.2418413 -0.1114811 0.1614705
2020 2 0.1248889 -0.2067054 -0.08181646 0.1689471
2020 3 0.04450759 -0.2413788 -0.1968712 0.1490196
2020 4 0.008320711 -0.335502 -0.3271813 0.1339232
2020 5 -0.006434617 -0.4862231 -0.4926577 0.1365979
2020 6 -0.01033777 -0.7165178 -0.7268556 0.1560638
2020 7 0.0145767 -0.8484461 -0.8338695 0.1583059
2020 8 -0.1354112 -0.846788 -0.9821992 0.157154
2020 9 -0.3259486 -0.7759538 -1.101902 0.1631343
2020 10 -0.4542972 -0.6425337 -1.096831 0.1557063
2020 11 -0.4101405 -0.511725 -0.9218655 0.1548743
2020 12 -0.1255391 -0.3855362 -0.5110752 0.1546928
