year month land ocean net foss
2015 1 -0.0848143 -0.511444 -0.5962584 0.001408784
2015 2 -0.02916491 -0.5584162 -0.5875812 0.001485787
2015 3 0.003359058 -0.3233093 -0.3199502 0.001433433
2015 4 0.03332806 -0.3135764 -0.2802483 0.001434862
2015 5 0.05176815 -0.2491664 -0.1973983 0.001414344
2015 6 0.04326811 -0.1677242 -0.1244561 0.001447094
2015 7 0.0348954 0.03678763 0.07168303 0.001418176
2015 8 0.02690641 0.2000023 0.2269087 0.001431035
2015 9 0.01505309 0.2360358 0.2510889 0.0014536
2015 10 -0.02504927 -0.04989773 -0.074947 0.001425383
2015 11 -0.04520466 -0.2188201 -0.2640248 0.00144318
2015 12 -0.08528582 -0.3680724 -0.4533582 0.001435956
2016 1 -0.07831888 -0.5495043 -0.6278232 0.001422832
2016 2 -0.02599731 -0.5675518 -0.5935491 0.001465029
2016 3 0.002634527 -0.3875253 -0.3848908 0.001452546
2016 4 0.02894748 -0.3121869 -0.2832395 0.001449821
2016 5 0.03941138 -0.2359586 -0.1965473 0.001430837
2016 6 0.05955871 -0.1996359 -0.1400772 0.001463568
2016 7 0.04573762 0.009669533 0.05540716 0.001429868
2016 8 0.03412883 0.1166431 0.150772 0.001450138
2016 9 0.01093514 0.2431135 0.2540486 0.00146935
2016 10 -0.01880695 -0.0566235 -0.07543045 0.001437898
2016 11 -0.04170328 -0.1902672 -0.2319705 0.001461833
2016 12 -0.07800663 -0.3786551 -0.4566617 0.001450756
2017 1 -0.06133212 -0.5174378 -0.57877 0.001392175
2017 2 -0.02765203 -0.534 -0.5616521 0.00147076
2017 3 0.001271896 -0.3443372 -0.3430653 0.001420313
2017 4 0.03575291 -0.3534326 -0.3176797 0.001415019
2017 5 0.05336471 -0.2965708 -0.2432061 0.001400858
2017 6 0.04492418 -0.1562478 -0.1113237 0.001430603
2017 7 0.04181739 0.01483366 0.05665105 0.001396708
2017 8 0.03405501 0.1846735 0.2187286 0.001417428
2017 9 0.01580343 0.2041201 0.2199235 0.001434657
2017 10 -0.02100402 -0.06422708 -0.0852311 0.001406135
2017 11 -0.06086381 -0.2319905 -0.2928543 0.001428562
2017 12 -0.07382785 -0.4243212 -0.498149 0.001415861
2018 1 -0.06315215 -0.5600129 -0.6231651 0.001391822
2018 2 -0.030237 -0.5867714 -0.6170084 0.00146823
2018 3 -0.008131194 -0.338902 -0.3470331 0.001416263
2018 4 0.03899527 -0.3173976 -0.2784024 0.001413044
2018 5 0.0482506 -0.2808762 -0.2326256 0.001398437
2018 6 0.04140971 -0.1887456 -0.1473359 0.001426478
2018 7 0.03378919 -0.0003978404 0.03339135 0.001394864
2018 8 0.02765136 0.1566359 0.1842872 0.001414306
2018 9 0.008922314 0.1996434 0.2085657 0.001429089
2018 10 -0.03712752 -0.07732591 -0.1144534 0.001405427
2018 11 -0.06644215 -0.2603331 -0.3267753 0.001425537
2018 12 -0.07708673 -0.4470071 -0.5240939 0.001412477
2019 1 -0.06148634 -0.6099061 -0.6713924 0.001365291
2019 2 -0.02986466 -0.5355802 -0.5654449 0.001439374
2019 3 0.007931703 -0.394847 -0.3869153 0.001386309
2019 4 0.03909934 -0.3501542 -0.3110548 0.00138757
2019 5 0.04934682 -0.326412 -0.2770651 0.001370967
2019 6 0.0443668 -0.1880636 -0.1436968 0.00139583
2019 7 0.03799963 -0.03757176 0.0004278662 0.001369451
2019 8 0.02447998 0.0788555 0.1033355 0.001385001
2019 9 0.0131451 0.1484541 0.1615992 0.001401266
2019 10 -0.02241326 -0.07721139 -0.09962466 0.001377835
2019 11 -0.04807474 -0.1997136 -0.2477883 0.001395901
2019 12 -0.07847513 -0.3794695 -0.4579446 0.001385791
2020 1 -0.06796447 -0.5729883 -0.6409528 0.001368301
2020 2 -0.02818378 -0.5938687 -0.6220525 0.00140483
2020 3 0.001647478 -0.3861536 -0.3845061 0.001221548
2020 4 0.03588682 -0.3551428 -0.319256 0.001054262
2020 5 0.04818427 -0.3144907 -0.2663064 0.001064999
2020 6 0.04654385 -0.2087345 -0.1621906 0.00119813
2020 7 0.03919653 -0.02623301 0.01296352 0.001205994
2020 8 0.02921799 0.1113484 0.1405664 0.001207493
2020 9 0.01174435 0.1587828 0.1705272 0.001261379
2020 10 -0.02346155 -0.09047485 -0.1139364 0.001219129
2020 11 -0.04790424 -0.2394855 -0.2873898 0.00120984
2020 12 -0.07953698 -0.4319771 -0.511514 0.001224184
