year month land ocean net foss
2015 1 0.4723193 -0.7320966 -0.2597773 3.39712
2015 2 -0.1982905 -0.6908021 -0.8890925 3.489327
2015 3 -1.064222 -0.6143107 -1.678532 3.398262
2015 4 -3.326146 -0.5230016 -3.849148 3.315981
2015 5 -4.010832 -0.2500067 -4.260839 3.217433
2015 6 -4.369631 -0.1420208 -4.511652 3.344524
2015 7 -3.807713 0.1633441 -3.644369 3.362088
2015 8 -1.081709 0.2813178 -0.800391 3.369116
2015 9 0.1579137 0.6191662 0.7770798 3.387261
2015 10 1.282798 -0.07401489 1.208783 3.364208
2015 11 2.407218 -0.4261686 1.981049 3.517844
2015 12 1.211989 -0.6821097 0.5298788 3.703015
2016 1 1.12699 -0.7749704 0.3520195 3.387115
2016 2 0.2906874 -0.7751757 -0.4844883 3.375527
2016 3 -0.8548337 -0.664475 -1.519309 3.404634
2016 4 -2.611292 -0.629909 -3.241201 3.304963
2016 5 -3.559153 -0.3453205 -3.904474 3.224466
2016 6 -4.423116 -0.3019243 -4.72504 3.342486
2016 7 -3.240915 0.08317476 -3.15774 3.34385
2016 8 -1.401121 0.1930402 -1.208081 3.380035
2016 9 0.704227 0.2298213 0.9340484 3.38245
2016 10 2.290295 -0.09281007 2.197485 3.355735
2016 11 1.368129 -0.4093148 0.958814 3.523689
2016 12 1.826307 -0.6505435 1.175763 3.687857
2017 1 1.187512 -0.737154 0.4503576 3.439937
2017 2 0.4102928 -0.7525693 -0.3422765 3.532962
2017 3 -0.9460478 -0.686856 -1.632904 3.44938
2017 4 -1.523049 -0.4048426 -1.927891 3.345186
2017 5 -3.509208 -0.3429165 -3.852125 3.276765
2017 6 -3.701516 -0.184132 -3.885648 3.386381
2017 7 -3.264819 0.07148302 -3.193336 3.389789
2017 8 -0.7352242 0.0151351 -0.7200891 3.424879
2017 9 1.313588 0.1848321 1.49842 3.420941
2017 10 2.314688 -0.107883 2.206805 3.409596
2017 11 2.068078 -0.3713534 1.696725 3.572088
2017 12 2.255614 -0.632256 1.623358 3.72823
2018 1 1.295726 -0.7554359 0.5402904 3.522418
2018 2 0.7996557 -0.6858522 0.1138036 3.608833
2018 3 0.5034387 -0.7456424 -0.2422037 3.515723
2018 4 -1.905607 -0.5448724 -2.45048 3.423907
2018 5 -4.395187 -0.3177475 -4.712934 3.347555
2018 6 -3.601567 -0.1545962 -3.756164 3.451071
2018 7 -3.312379 0.08728796 -3.225091 3.469673
2018 8 -1.545151 0.196382 -1.348769 3.496009
2018 9 1.827131 0.4075401 2.234671 3.487858
2018 10 2.600169 -0.2069075 2.393262 3.490681
2018 11 1.946513 -0.4595661 1.486947 3.646859
2018 12 2.111591 -0.6749059 1.436685 3.810077
2019 1 1.783117 -0.7783241 1.004793 3.542733
2019 2 0.8168183 -0.769809 0.04700928 3.629746
2019 3 -0.9818724 -0.6841961 -1.666068 3.531808
2019 4 -2.531475 -0.4850761 -3.016551 3.457578
2019 5 -3.37884 -0.3829371 -3.761777 3.371282
2019 6 -4.177627 -0.1949084 -4.372535 3.47169
2019 7 -3.500411 0.07315639 -3.427255 3.50269
2019 8 -0.7930928 0.1649647 -0.6281282 3.513361
2019 9 1.085134 0.2164137 1.301547 3.522846
2019 10 2.313001 0.00196303 2.314964 3.518831
2019 11 2.978471 -0.4309002 2.547571 3.666763
2019 12 2.061657 -0.7185889 1.343069 3.847196
2020 1 1.124845 -0.7834254 0.3414191 3.403685
2020 2 0.2114976 -0.7621111 -0.5506135 3.262423
2020 3 -0.8076419 -0.7176418 -1.525284 3.179952
2020 4 -2.040062 -0.5398143 -2.579877 3.041445
2020 5 -2.312509 -0.319362 -2.631871 3.031067
2020 6 -3.88124 -0.1968386 -4.078078 3.308978
2020 7 -3.003739 0.0777887 -2.92595 3.332798
2020 8 -1.06417 0.3325734 -0.7315962 3.398438
2020 9 1.832972 0.2526852 2.085657 3.427024
2020 10 2.487577 -0.08773267 2.399844 3.409447
2020 11 2.326432 -0.4309391 1.895493 3.528157
2020 12 2.491395 -0.7289148 1.76248 3.85521
