year month land ocean net foss
2015 1 3.096996 -0.01153023 3.085465 0.2449993
2015 2 5.030189 -0.04789513 4.982294 0.2556789
2015 3 3.790093 0.08600022 3.876093 0.2487287
2015 4 1.873718 0.09335834 1.967076 0.2486324
2015 5 2.880729 0.1461366 3.026866 0.2444999
2015 6 -1.475599 0.1213108 -1.354288 0.2520607
2015 7 -2.959039 0.165868 -2.793171 0.2496629
2015 8 -0.02103747 0.1722643 0.1512268 0.2489273
2015 9 2.559222 0.08973914 2.648961 0.2529453
2015 10 6.002051 0.06200244 6.064054 0.2516755
2015 11 3.173181 -0.02559781 3.147583 0.2536048
2015 12 4.719966 0.021609 4.741575 0.2520885
2016 1 4.636647 -0.05228368 4.584364 0.2520142
2016 2 6.755874 -0.07812489 6.677749 0.256347
2016 3 3.189869 0.06261759 3.252486 0.2570478
2016 4 5.313039 0.1648722 5.477911 0.25581
2016 5 4.35451 0.1720551 4.526565 0.2525157
2016 6 -1.595987 0.2000202 -1.395967 0.2598463
2016 7 -1.43651 0.23936 -1.19715 0.2564721
2016 8 -1.442618 0.1657395 -1.276878 0.2576456
2016 9 0.4581948 0.1556729 0.6138677 0.2608449
2016 10 2.214047 0.1521449 2.366192 0.2590874
2016 11 2.823691 0.1724281 2.996119 0.2621776
2016 12 3.122937 0.1201423 3.243079 0.2595574
2017 1 3.625925 0.1417195 3.767645 0.2577525
2017 2 3.112194 0.1668187 3.279012 0.2686756
2017 3 2.02123 0.1688861 2.190116 0.2621219
2017 4 2.382162 0.1928059 2.574968 0.2604559
2017 5 1.465998 0.1048098 1.570808 0.2581556
2017 6 -0.5635357 0.2495079 -0.3140278 0.2647547
2017 7 -1.894397 0.2233645 -1.671033 0.2614535
2017 8 -1.646152 0.2515449 -1.394607 0.2625563
2017 9 0.3655277 0.2139735 0.5795012 0.2652195
2017 10 2.265102 0.1781783 2.44328 0.2643514
2017 11 2.775806 0.1432986 2.919104 0.2670607
2017 12 3.966981 0.1376672 4.104648 0.2639772
2018 1 0.3568135 0.1996069 0.5564203 0.2644389
2018 2 6.339239 0.1276141 6.466853 0.2751901
2018 3 0.7052799 0.2207322 0.9260121 0.2680253
2018 4 2.948975 0.1479638 3.096939 0.2669741
2018 5 0.2562886 0.181513 0.4378016 0.2642939
2018 6 -1.041782 0.172892 -0.8688899 0.2704889
2018 7 -3.221497 0.2458199 -2.975677 0.2677956
2018 8 -1.533548 0.2248738 -1.308674 0.2683413
2018 9 0.4388012 0.1653839 0.6041852 0.2707461
2018 10 2.205916 0.09946549 2.305382 0.270978
2018 11 2.813877 0.2740899 3.087967 0.2732916
2018 12 3.848558 0.1070814 3.955639 0.2703115
2019 1 2.37397 0.1093931 2.483363 0.2704523
2019 2 2.625559 0.1476246 2.773183 0.2814821
2019 3 4.246947 0.1740729 4.42102 0.2736145
2019 4 4.600791 0.2029635 4.803754 0.2735338
2019 5 1.825892 0.1510212 1.976913 0.2702253
2019 6 -0.9819741 0.2247228 -0.7572513 0.2761319
2019 7 -2.245424 0.2205243 -2.024899 0.2743151
2019 8 -1.78168 0.2255043 -1.556175 0.2739264
2019 9 -0.05674767 0.1639408 0.1071931 0.2772733
2019 10 1.255184 0.09608827 1.351273 0.2771676
2019 11 2.275281 0.1500951 2.425376 0.2790755
2019 12 3.81482 0.1606533 3.975473 0.276961
2020 1 2.120906 0.138299 2.259205 0.2708073
2020 2 3.334081 0.1322346 3.466316 0.2755976
2020 3 6.908321 0.1456809 7.054002 0.2443322
2020 4 3.902255 0.1560127 4.058267 0.2125454
2020 5 2.561521 0.1499933 2.711514 0.2151328
2020 6 -0.4811876 0.2196387 -0.2615489 0.2435561
2020 7 -2.096894 0.209496 -1.887398 0.2471091
2020 8 -0.9680077 0.2340305 -0.7339772 0.2440915
2020 9 1.516716 0.1554188 1.672135 0.255417
2020 10 1.474795 0.1212321 1.596027 0.2512828
2020 11 1.791528 0.1220075 1.913536 0.2476449
2020 12 3.791653 0.1148606 3.906514 0.250975
