year month land ocean net foss
2015 1 -2.632442 0.161947 -2.470495 0.06646022
2015 2 -3.177616 0.2680032 -2.909613 0.0693564
2015 3 -2.61478 0.2071543 -2.407626 0.06876264
2015 4 -2.232945 0.09306506 -2.13988 0.06869829
2015 5 -1.047914 0.01587063 -1.032043 0.06811888
2015 6 -0.4584734 -0.08644343 -0.5449168 0.06996243
2015 7 0.07857588 -0.1882872 -0.1097113 0.06943513
2015 8 0.8308371 -0.2248008 0.6060362 0.07030077
2015 9 2.259493 -0.1277709 2.131722 0.07107608
2015 10 3.108605 0.04131087 3.149916 0.0701787
2015 11 2.831964 0.09186835 2.923833 0.07039963
2015 12 0.5446265 0.1079264 0.6525529 0.06974113
2016 1 -1.937231 0.159555 -1.777676 0.06601396
2016 2 -3.25688 0.1995455 -3.057334 0.06718234
2016 3 -3.080417 0.1910762 -2.889341 0.06865947
2016 4 -1.964838 0.1860948 -1.778744 0.06833468
2016 5 -2.01041 0.03910931 -1.9713 0.06790196
2016 6 -0.4754775 -0.1513582 -0.6268358 0.06971892
2016 7 -0.1588493 -0.2386427 -0.397492 0.06888684
2016 8 1.292581 -0.2599097 1.032671 0.07028901
2016 9 2.458522 -0.1979191 2.260603 0.07080784
2016 10 2.971042 0.003776248 2.974818 0.06970766
2016 11 2.860383 0.02625628 2.886639 0.07032442
2016 12 0.1247724 0.01925902 0.1440314 0.06936062
2017 1 -2.456582 0.08642833 -2.370154 0.06694117
2017 2 -3.382808 0.1492197 -3.233589 0.06999768
2017 3 -3.587633 0.1535833 -3.43405 0.06952268
2017 4 -2.707185 0.05897582 -2.648209 0.06903451
2017 5 -1.875143 -0.001378174 -1.876521 0.06892966
2017 6 -0.7216078 -0.1132663 -0.8348741 0.0706072
2017 7 -0.5187631 -0.216939 -0.7357022 0.06974656
2017 8 0.8361386 -0.2721765 0.5639621 0.07119862
2017 9 2.598307 -0.1314375 2.466869 0.07160253
2017 10 3.664197 0.03738928 3.701586 0.07069567
2017 11 2.247444 0.09861064 2.346055 0.07122215
2017 12 -0.5893891 0.02480497 -0.5645841 0.07007465
2018 1 -2.209535 0.157887 -2.051648 0.06718062
2018 2 -3.307468 0.1548386 -3.152629 0.07010958
2018 3 -3.204802 0.1543348 -3.050468 0.06947224
2018 4 -3.321157 0.07886553 -3.242291 0.06919584
2018 5 -1.938148 -0.0134659 -1.951614 0.06900337
2018 6 -1.044278 -0.1221605 -1.166439 0.07058093
2018 7 -0.3147171 -0.2290103 -0.5437274 0.06989119
2018 8 0.7661681 -0.2563361 0.509832 0.07123173
2018 9 2.479534 -0.1196742 2.35986 0.07147435
2018 10 3.366913 0.05233237 3.419245 0.07090978
2018 11 2.829457 0.158502 2.987959 0.07127386
2018 12 0.06487453 0.1986783 0.2635529 0.07009559
2019 1 -2.075406 0.1583507 -1.917055 0.06784597
2019 2 -3.229411 0.1539802 -3.075431 0.07080561
2019 3 -2.786118 0.1953418 -2.590776 0.06996011
2019 4 -1.769838 0.1656641 -1.604174 0.07004038
2019 5 -1.620413 0.01949517 -1.600918 0.06966076
2019 6 -0.6965142 -0.110698 -0.8072122 0.07109315
2019 7 -0.0853796 -0.2255866 -0.3109662 0.07072858
2019 8 0.8174846 -0.2729243 0.5445604 0.0718096
2019 9 2.7192 -0.1370899 2.58211 0.07223828
2019 10 3.810238 0.005051 3.815289 0.07160328
2019 11 2.977561 0.01594594 2.993507 0.07185804
2019 12 0.2408061 0.07338087 0.314187 0.07085077
2020 1 -1.403148 0.1629775 -1.240171 0.07208808
2020 2 -3.308941 0.1520372 -3.156904 0.06821984
2020 3 -3.313311 0.1581917 -3.155119 0.06114651
2020 4 -2.570238 0.04172588 -2.528512 0.0494478
2020 5 -1.879438 0.001602974 -1.877835 0.05126901
2020 6 -0.9934436 -0.1147069 -1.10815 0.059661
2020 7 -0.2226939 -0.232429 -0.4551228 0.05932539
2020 8 0.477056 -0.2862791 0.1907769 0.05952218
2020 9 2.458844 -0.1535497 2.305295 0.061932
2020 10 3.752729 -0.005045527 3.747684 0.06348423
2020 11 2.587678 0.01312764 2.600805 0.0642695
2020 12 -0.04266846 0.06491513 0.02224667 0.06575148
