year month land ocean net foss
2015 1 0.09058401 -0.04672562 0.04385839 0.002527812
2015 2 0.01016188 -0.04604843 -0.03588655 0.002592797
2015 3 -0.00799948 -0.04002699 -0.04802647 0.002451362
2015 4 0.1180899 -0.0401181 0.07797178 0.002412316
2015 5 0.03077742 -0.03506639 -0.004288966 0.002305375
2015 6 -0.1997495 -0.06081673 -0.2605662 0.002394835
2015 7 -0.6349416 -0.05596462 -0.6909062 0.002412006
2015 8 -0.1081757 -0.05770748 -0.1658832 0.002434844
2015 9 0.2509202 -0.06860109 0.1823191 0.002419347
2015 10 0.2796297 -0.06085708 0.2187727 0.002408039
2015 11 0.1034627 -0.06407447 0.03938822 0.002468519
2015 12 0.09666505 -0.052508 0.04415705 0.002506106
2016 1 0.09804146 -0.03689861 0.06114285 0.002481011
2016 2 0.00178644 -0.03603323 -0.03424679 0.002475252
2016 3 0.009526205 -0.03536306 -0.02583685 0.002414445
2016 4 0.03908321 -0.03451815 0.004565059 0.002372204
2016 5 0.02372507 -0.06071877 -0.0369937 0.002267883
2016 6 -0.232748 -0.04742715 -0.2801752 0.002355227
2016 7 -0.6336546 -0.05739135 -0.6910459 0.002371239
2016 8 -0.08137883 -0.05741156 -0.1387904 0.002401776
2016 9 0.2630527 -0.06360078 0.1994519 0.002381815
2016 10 0.1935125 -0.0720636 0.1214489 0.002366771
2016 11 0.1242232 -0.05053313 0.0736901 0.002431603
2016 12 0.1074953 -0.04236197 0.06513332 0.002461865
2017 1 0.06203162 -0.04419789 0.01783373 0.002587076
2017 2 0.009369518 -0.04089837 -0.03152885 0.002656275
2017 3 0.005588532 -0.0344844 -0.02889586 0.002517912
2017 4 0.07721452 -0.03533384 0.04188069 0.00247281
2017 5 0.05183355 -0.04349751 0.008336042 0.002369319
2017 6 -0.05081795 -0.04457819 -0.09539614 0.002457079
2017 7 -0.5891381 -0.04609804 -0.6352361 0.002470365
2017 8 -0.1789094 -0.05093825 -0.2298477 0.002503308
2017 9 0.2566596 -0.07676531 0.1798943 0.002482519
2017 10 0.215876 -0.05886151 0.1570145 0.002471566
2017 11 0.09502457 -0.07364878 0.02137579 0.002536945
2017 12 0.09454185 -0.04909088 0.04545097 0.00256279
2018 1 0.04378074 -0.03237077 0.01140997 0.002646344
2018 2 0.006491379 -0.03410626 -0.02761488 0.002715191
2018 3 0.01988889 -0.04482143 -0.02493253 0.002570867
2018 4 0.03758118 -0.03486027 0.002720909 0.002527554
2018 5 0.0313298 -0.069034 -0.03770421 0.002421672
2018 6 -0.3090789 -0.06080834 -0.3698873 0.002509248
2018 7 -0.6120728 -0.05869537 -0.6707682 0.00252548
2018 8 -0.2144678 -0.0529909 -0.2674587 0.002557368
2018 9 0.2193012 -0.07374644 0.1455548 0.002533574
2018 10 0.2418457 -0.04888894 0.1929567 0.002527329
2018 11 0.08420573 -0.05869312 0.02551261 0.002591562
2018 12 0.08215559 -0.03905603 0.04309956 0.002618322
2019 1 0.001973514 -0.0429899 -0.04101639 0.002600819
2019 2 0.001554757 -0.03251057 -0.03095581 0.002667966
2019 3 0.03869858 -0.0407581 -0.002059516 0.002524303
2019 4 0.01128855 -0.03525075 -0.0239622 0.002487749
2019 5 0.03002197 -0.07110808 -0.04108611 0.002380292
2019 6 -0.3010843 -0.04913101 -0.3502153 0.002463765
2019 7 -0.7416987 -0.0481621 -0.7898608 0.002485582
2019 8 -0.1940371 -0.05893004 -0.2529672 0.002512515
2019 9 0.1941414 -0.07098281 0.1231586 0.002492213
2019 10 0.236326 -0.05346339 0.1828626 0.002485361
2019 11 0.09389202 -0.03639924 0.05749278 0.002545723
2019 12 0.08208878 -0.05048079 0.03160799 0.002574761
2020 1 0.08932856 -0.04358108 0.04574749 0.002579204
2020 2 0.01949898 -0.03317262 -0.01367364 0.002567936
2020 3 0.0197512 -0.0413606 -0.0216094 0.002115403
2020 4 0.09612831 -0.03526017 0.06086814 0.001641405
2020 5 0.002978008 -0.06910258 -0.06612458 0.001625746
2020 6 -0.3702015 -0.05035292 -0.4205544 0.001825921
2020 7 -0.4690939 -0.04699853 -0.5160924 0.001899097
2020 8 -0.1338972 -0.06033662 -0.1942338 0.001939202
2020 9 0.3410536 -0.07182978 0.2692239 0.001961891
2020 10 0.22638 -0.0546383 0.1717417 0.001951571
2020 11 0.08344342 -0.03708619 0.04635722 0.001984773
2020 12 0.08360146 -0.05134885 0.03225261 0.002124117
