year month land ocean net foss
2015 1 -0.9902885 0.4674564 -0.5228322 1.031357
2015 2 0.08608223 0.5341185 0.6202007 1.076385
2015 3 1.804923 0.5932565 2.398179 1.052433
2015 4 2.579438 0.5159939 3.095432 1.045999
2015 5 0.6689079 0.6750936 1.344001 1.032179
2015 6 1.48156 0.4042325 1.885793 1.051832
2015 7 0.03968609 0.4942663 0.5339524 1.036863
2015 8 -0.543923 0.540332 -0.003590952 1.031274
2015 9 2.710365 0.6236866 3.334052 1.052603
2015 10 6.593092 0.5445381 7.13763 1.050776
2015 11 5.72213 0.5247418 6.246871 1.067663
2015 12 5.519231 0.3768216 5.896053 1.077117
2016 1 3.347491 0.3643681 3.711859 1.061006
2016 2 3.342051 0.2099772 3.552028 1.076691
2016 3 3.820817 0.4794763 4.300294 1.086976
2016 4 3.489769 0.4399263 3.929696 1.076264
2016 5 1.889158 0.4962852 2.385443 1.06615
2016 6 0.620091 0.4866472 1.106738 1.084638
2016 7 -1.565219 0.5690862 -0.9961331 1.065347
2016 8 -2.47706 0.5451992 -1.931861 1.067576
2016 9 -0.3518388 0.608309 0.2564702 1.085469
2016 10 2.977926 0.806811 3.784737 1.082233
2016 11 4.631859 0.5829808 5.21484 1.10331
2016 12 3.187988 0.220623 3.408611 1.108324
2017 1 -0.201582 0.008175654 -0.1934064 1.074009
2017 2 -0.3488074 0.4262253 0.07741783 1.120464
2017 3 -0.138377 0.4051359 0.2667589 1.097431
2017 4 1.638193 0.2660459 1.904239 1.084952
2017 5 0.1090746 0.4995865 0.6086611 1.078905
2017 6 -0.1047078 0.6118572 0.5071494 1.09428
2017 7 -1.961367 0.6320066 -1.32936 1.075242
2017 8 -2.115715 0.4947804 -1.620935 1.07695
2017 9 -0.1616197 0.8638672 0.7022475 1.092985
2017 10 3.164308 0.9890739 4.153382 1.093701
2017 11 4.049502 0.9500527 4.999555 1.113548
2017 12 2.183134 0.2685967 2.45173 1.116688
2018 1 -1.887424 0.4592374 -1.428187 1.119564
2018 2 0.840482 0.4396092 1.280091 1.165819
2018 3 -0.2661188 0.6290407 0.3629219 1.139793
2018 4 -0.3413731 0.3410409 -0.0003321986 1.130779
2018 5 -0.6887831 0.3816682 -0.3071149 1.122449
2018 6 -0.1350231 0.3467091 0.211686 1.136391
2018 7 -2.23635 0.2341372 -2.002213 1.120137
2018 8 -2.946829 0.5348449 -2.411984 1.11937
2018 9 0.3551543 0.5787437 0.933898 1.135018
2018 10 2.735624 0.6628097 3.398434 1.140145
2018 11 3.77525 1.098227 4.873477 1.158496
2018 12 2.873148 0.715807 3.588955 1.163036
2019 1 -0.001865362 0.4129554 0.41109 1.145209
2019 2 -0.01119835 0.3674137 0.3562154 1.192605
2019 3 1.670845 0.4692286 2.140074 1.16352
2019 4 4.093501 0.5482985 4.6418 1.159096
2019 5 2.270253 0.4515314 2.721784 1.147604
2019 6 0.3945384 0.6415885 1.036127 1.160827
2019 7 -1.366857 0.5821236 -0.7847336 1.148378
2019 8 -2.368988 0.5972824 -1.771705 1.14355
2019 9 0.1739557 0.6961223 0.8700779 1.1637
2019 10 1.492042 0.7218149 2.213857 1.166995
2019 11 2.960576 0.5361207 3.496697 1.183389
2019 12 1.35859 0.4136383 1.772228 1.192343
2020 1 1.374122 0.6460766 2.020199 1.158015
2020 2 1.188923 0.3791309 1.568053 1.174204
2020 3 2.558536 0.4283797 2.986916 1.026968
2020 4 1.970695 0.3786743 2.349369 0.8590462
2020 5 1.029485 0.5143895 1.543875 0.9014038
2020 6 0.633842 0.6149103 1.248752 1.018824
2020 7 -0.8645526 0.5935807 -0.2709719 1.04156
2020 8 -2.80951 0.5677185 -2.241792 1.030578
2020 9 -0.832551 0.5936333 -0.2389177 1.093362
2020 10 2.411601 0.7227054 3.134306 1.09414
2020 11 2.950467 0.4971078 3.447575 1.083468
2020 12 0.9305381 0.3094442 1.239982 1.103948
