lat prs camp flt x yday
5 350 21 1 -0.2757559 210
15 350 21 1 -0.4109263 210
25 350 21 1 -0.08594791 210
35 350 21 1 -0.3174172 210
5 450 21 1 -0.3732398 210
15 450 21 1 -0.3495557 210
25 450 21 1 0.1558491 210
5 550 21 1 -0.4500654 210
15 550 21 1 -0.3726335 210
25 550 21 1 0.02053606 210
5 650 21 1 -0.5188615 210
15 650 21 1 -0.4139125 210
25 650 21 1 -0.2444719 210
5 750 21 1 -0.4974438 210
15 750 21 1 -0.4241073 210
5 850 21 1 -0.7350733 210
15 850 21 1 -0.4024973 210
25 850 21 1 -0.2483332 210
5 950 21 1 -0.7724899 210
15 950 21 1 -0.6152456 210
25 950 21 1 -0.841182 210
5 350 22 1 -1.227648 25
15 350 22 1 -0.8909879 25.64151
25 350 22 1 -0.2438493 25.73333
35 350 22 1 0.1092872 25.14894
5 450 22 1 -1.083938 25
15 450 22 1 -0.8836542 25.5
25 450 22 1 -0.4604517 26
35 450 22 1 1.16008 26
5 550 22 1 -1.211261 25
15 550 22 1 -0.9918088 25.51852
25 550 22 1 0.1035071 26
35 550 22 1 2.360106 26
5 650 22 1 -0.6673792 25
15 650 22 1 -0.5519984 25.5
25 650 22 1 1.529515 26
35 650 22 1 3.46489 26
5 750 22 1 -0.7267845 25
15 750 22 1 0.4204644 25.71429
25 750 22 1 2.620487 26
35 750 22 1 3.829469 26
5 850 22 1 -0.4064873 25
15 850 22 1 1.763345 26
25 850 22 1 3.37371 26
35 850 22 1 4.594952 26
5 950 22 1 -0.07855602 25
15 950 22 1 2.517844 26
25 950 22 1 4.414818 26
-5 350 23 1 -1.99351 270
5 350 23 1 -2.273675 270
15 350 23 1 -2.890796 270
25 350 23 1 -2.911614 270
35 350 23 1 -3.167481 270.2581
-5 450 23 1 -2.100802 270
5 450 23 1 -2.390064 270
15 450 23 1 -3.058488 270
25 450 23 1 -3.043985 270
35 450 23 1 -3.290056 270.4923
-5 550 23 1 -2.065235 270
5 550 23 1 -2.710577 270
15 550 23 1 -3.374704 270
25 550 23 1 -3.18045 270
35 550 23 1 -3.388902 270.4688
5 650 23 1 -2.427362 270
15 650 23 1 -3.464924 270
25 650 23 1 -3.422049 270
35 650 23 1 -3.71217 270.4324
5 750 23 1 -2.237334 270
15 750 23 1 -3.367154 270
25 750 23 1 -3.589697 270
35 750 23 1 -3.595739 270.6154
5 850 23 1 -1.873341 270
15 850 23 1 -4.173168 270
25 850 23 1 -4.377692 270
35 850 23 1 -3.217925 270.66
5 950 23 1 -1.73688 270
15 950 23 1 -4.842809 270
25 950 23 1 -4.807407 270
35 950 23 1 -3.016334 270.9
5 350 24 1 0.7594129 113
15 350 24 1 1.534925 113
25 350 24 1 1.721055 113
35 350 24 1 2.282654 113
5 450 24 1 0.7398678 113
15 450 24 1 1.802678 113
25 450 24 1 2.18732 113
35 450 24 1 3.198398 113
5 550 24 1 0.300679 113
15 550 24 1 1.779579 113
25 550 24 1 2.165962 113
35 550 24 1 3.931611 113.3462
5 650 24 1 0.5639973 113
15 650 24 1 1.669713 113
25 650 24 1 2.353283 113
35 650 24 1 4.010318 113.4667
5 750 24 1 1.018584 113
15 750 24 1 1.997113 113
25 750 24 1 2.519393 113
5 850 24 1 1.178413 113
15 850 24 1 2.299126 113
25 850 24 1 2.151636 113
5 950 24 1 1.142115 113
15 950 24 1 3.933982 113
25 950 24 1 5.200825 113
35 350 21 2 -0.2551373 213
45 350 21 2 -0.1618005 213
