year month land ocean net foss
2015 1 -0.2257652 -0.5964991 -0.8222643 0.007197368
2015 2 -0.1544612 -0.5282323 -0.6826935 0.007698465
2015 3 -0.09461233 -0.5481693 -0.6427816 0.00753342
2015 4 0.02790691 -0.5743012 -0.5463943 0.007574838
2015 5 0.132415 -0.3423742 -0.2099592 0.007640349
2015 6 0.1784667 -0.6228234 -0.4443567 0.007911308
2015 7 0.1838539 -0.5392321 -0.3553782 0.007931016
2015 8 0.1258698 -0.4069856 -0.2811158 0.007914938
2015 9 0.02017447 -0.4255913 -0.4054168 0.007926407
2015 10 -0.1438278 -0.5214505 -0.6652784 0.007687529
2015 11 -0.2559595 -0.6661207 -0.9220802 0.007793063
2015 12 -0.2442054 -0.6154875 -0.8596928 0.007658812
2016 1 -0.2536481 -0.5641661 -0.8178142 0.007183963
2016 2 -0.1309147 -0.5861581 -0.7170728 0.007458632
2016 3 -0.08349383 -0.7998895 -0.8833834 0.007546891
2016 4 0.04346518 -0.852411 -0.8089458 0.007556512
2016 5 0.1269885 -0.4023089 -0.2753204 0.007647655
2016 6 0.188976 -0.493446 -0.3044699 0.007906728
2016 7 0.1859172 -0.6132759 -0.4273588 0.007896701
2016 8 0.1356918 -0.45107 -0.3153782 0.007936622
2016 9 -0.004922479 -0.4199693 -0.4248918 0.007919765
2016 10 -0.1863767 -0.4928705 -0.6792471 0.007671128
2016 11 -0.2578719 -0.7405152 -0.998387 0.007805532
2016 12 -0.2675092 -0.7514052 -1.018914 0.007642531
2017 1 -0.233051 -0.6239746 -0.8570256 0.007161186
2017 2 -0.1488064 -0.5879516 -0.7367579 0.007660753
2017 3 -0.1008425 -0.7303358 -0.8311783 0.007507482
2017 4 -0.01065603 -0.6244726 -0.6351286 0.007508606
2017 5 0.1334859 -0.7970517 -0.6635659 0.007625878
2017 6 0.1794214 -0.7549764 -0.575555 0.007866995
2017 7 0.205073 -0.5479258 -0.3428528 0.007862321
2017 8 0.1172946 -0.5010372 -0.3837426 0.007900204
2017 9 0.02139157 -0.4735153 -0.4521237 0.007868456
2017 10 -0.1388847 -0.6503483 -0.789233 0.007645181
2017 11 -0.2846353 -0.6449248 -0.92956 0.007767406
2017 12 -0.2718917 -0.7928092 -1.064701 0.007591334
2018 1 -0.1532847 -0.6195614 -0.772846 0.00711818
2018 2 -0.1694147 -0.5366085 -0.7060232 0.007600518
2018 3 -0.07067642 -0.6361533 -0.7068297 0.007436702
2018 4 0.04195061 -0.6485645 -0.6066139 0.007458929
2018 5 0.1355232 -0.6261632 -0.4906399 0.007565897
2018 6 0.1841179 -0.5971636 -0.4130457 0.007791045
2018 7 0.1821849 -0.5264333 -0.3442485 0.007809877
2018 8 0.1349834 -0.4231113 -0.2881279 0.007833913
2018 9 0.01623938 -0.4565287 -0.4402893 0.007793364
2018 10 -0.1360371 -0.5731326 -0.7091697 0.007598292
2018 11 -0.256547 -0.7081375 -0.9646845 0.007702633
2018 12 -0.2815956 -0.6457487 -0.9273442 0.00753203
2019 1 -0.1835684 -0.6463906 -0.829959 0.007191666
2019 2 -0.1600844 -0.5961555 -0.7562398 0.007683631
2019 3 -0.0726088 -0.6881214 -0.7607302 0.007498527
2019 4 0.0239593 -0.6977387 -0.6737794 0.007553987
2019 5 0.1309253 -0.6270469 -0.4961216 0.007648115
2019 6 0.1831172 -0.5713872 -0.38827 0.007867876
2019 7 0.1829606 -0.5266584 -0.3436977 0.007916437
2019 8 0.1349383 -0.453783 -0.3188447 0.007908436
2019 9 0.02131679 -0.4473876 -0.4260708 0.007888585
2019 10 -0.157483 -0.5438382 -0.7013212 0.007678748
2019 11 -0.2384935 -0.6846892 -0.9231827 0.007772733
2019 12 -0.2760209 -0.8494253 -1.125446 0.007621308
2020 1 -0.2131678 -0.7152896 -0.9284575 0.007201528
2020 2 -0.1790711 -0.6072375 -0.7863087 0.007499242
2020 3 -0.07107808 -0.6971538 -0.7682319 0.006644413
2020 4 0.02455275 -0.7401737 -0.7156209 0.005789635
2020 5 0.130664 -0.7652918 -0.6346277 0.005990527
2020 6 0.1888652 -0.6874765 -0.4986113 0.006817772
2020 7 0.1834992 -0.6079699 -0.4244707 0.007004017
2020 8 0.1387824 -0.4800492 -0.3412668 0.006927685
2020 9 0.03629437 -0.4760171 -0.4397227 0.007121475
2020 10 -0.1294387 -0.5581085 -0.6875471 0.006800084
2020 11 -0.2419198 -0.7598743 -1.001794 0.006758659
2020 12 -0.2480506 -0.784459 -1.03251 0.006767619
