year month land ocean net foss
2015 1 0.02830445 -0.04581381 -0.01750935 0.002527812
2015 2 0.02185418 -0.04558612 -0.02373195 0.002592797
2015 3 0.07261658 -0.04038118 0.0322354 0.002451362
2015 4 0.06890089 -0.03982142 0.02907947 0.002412316
2015 5 0.01603715 -0.04028693 -0.02424977 0.002305375
2015 6 -0.2168036 -0.06030599 -0.2771096 0.002394835
2015 7 -0.7245021 -0.05139815 -0.7759002 0.002412006
2015 8 -0.2273581 -0.05906612 -0.2864243 0.002434844
2015 9 0.1019861 -0.07540753 0.02657852 0.002419347
2015 10 0.1981583 -0.06341035 0.1347479 0.002408039
2015 11 0.05319329 -0.06223408 -0.009040792 0.002468519
2015 12 0.1804677 -0.0496047 0.130863 0.002506106
2016 1 0.04530503 -0.03690697 0.008398066 0.002481011
2016 2 0.02848286 -0.03606459 -0.007581733 0.002475252
2016 3 0.02503713 -0.03498712 -0.009949994 0.002414445
2016 4 0.07631864 -0.03519264 0.041126 0.002372204
2016 5 0.004947201 -0.05982971 -0.05488251 0.002267883
2016 6 -0.3066071 -0.0462414 -0.3528485 0.002355227
2016 7 -0.7155959 -0.05832478 -0.7739207 0.002371239
2016 8 -0.2193712 -0.05640655 -0.2757777 0.002401776
2016 9 0.1321278 -0.06387921 0.06824856 0.002381815
2016 10 0.09589755 -0.07239227 0.02350528 0.002366771
2016 11 0.03726746 -0.05044819 -0.01318072 0.002431603
2016 12 0.1017404 -0.04243326 0.05930718 0.002461865
2017 1 0.02322524 -0.04250798 -0.01928274 0.002587076
2017 2 0.01279406 -0.0408092 -0.02801514 0.002656275
2017 3 0.01417282 -0.03392782 -0.019755 0.002517912
2017 4 0.1045662 -0.03355657 0.07100961 0.00247281
2017 5 0.02123653 -0.04258456 -0.02134803 0.002369319
2017 6 -0.1511584 -0.04502174 -0.1961802 0.002457079
2017 7 -0.6750203 -0.04984043 -0.7248607 0.002470365
2017 8 -0.2500499 -0.05439129 -0.3044412 0.002503308
2017 9 0.05325594 -0.09759836 -0.04434242 0.002482519
2017 10 0.08935288 -0.05884757 0.03050531 0.002471566
2017 11 0.05133349 -0.05768747 -0.006353978 0.002536945
2017 12 0.07358608 -0.04817546 0.02541062 0.00256279
2018 1 0.094164 -0.03336571 0.0607983 0.002646344
2018 2 0.02589254 -0.0342813 -0.008388758 0.002715191
2018 3 0.04529958 -0.04479199 0.0005075899 0.002570867
2018 4 0.06266219 -0.03621367 0.02644852 0.002527554
2018 5 0.02886338 -0.05909818 -0.03023479 0.002421672
2018 6 -0.3242905 -0.05805118 -0.3823417 0.002509248
2018 7 -0.6562469 -0.05969795 -0.7159449 0.00252548
2018 8 -0.335646 -0.05297969 -0.3886257 0.002557368
2018 9 0.06327364 -0.07566367 -0.01239003 0.002533574
2018 10 0.1075672 -0.04933749 0.05822969 0.002527329
2018 11 0.05377056 -0.05777452 -0.004003956 0.002591562
2018 12 0.08060074 -0.03909236 0.04150838 0.002618322
2019 1 0.04556444 -0.04235879 0.00320565 0.002600819
2019 2 0.02595612 -0.03251663 -0.006560515 0.002667966
2019 3 0.05733361 -0.04119141 0.0161422 0.002524303
2019 4 0.05340054 -0.03428673 0.0191138 0.002487749
2019 5 0.01870576 -0.06495349 -0.04624773 0.002380292
2019 6 -0.3334548 -0.04960571 -0.3830605 0.002463765
2019 7 -0.7200016 -0.0449263 -0.7649279 0.002485582
2019 8 -0.2967993 -0.05887254 -0.3556718 0.002512515
2019 9 0.08767893 -0.06765097 0.02002796 0.002492213
2019 10 0.1525001 -0.05341138 0.09908876 0.002485361
2019 11 0.1155359 -0.03745821 0.07807771 0.002545723
2019 12 0.1451722 -0.05030577 0.09486646 0.002574761
2020 1 0.1086719 -0.04338291 0.06528899 0.002579204
2020 2 0.08435649 -0.03318541 0.05117108 0.002567936
2020 3 0.02967623 -0.04168236 -0.01200613 0.002115403
2020 4 0.1231877 -0.03482035 0.08836731 0.001641405
2020 5 -0.01764312 -0.05648646 -0.07412958 0.001625746
2020 6 -0.3885646 -0.05168924 -0.4402538 0.001825921
2020 7 -0.5224825 -0.05055286 -0.5730354 0.001899097
2020 8 -0.2370206 -0.05956056 -0.2965812 0.001939202
2020 9 0.1693906 -0.07508856 0.09430207 0.001961891
2020 10 0.08831467 -0.05400148 0.03431318 0.001951571
2020 11 0.1619653 -0.03853574 0.1234295 0.001984773
2020 12 0.07990896 -0.05093125 0.02897771 0.002124117
