lat prs annmn cos sin
1 1 -3.050549 -0.3516948 -0.4666664
2 1 -2.673115 -0.1587575 -0.4777405
3 1 -2.473335 -0.1096944 -0.5810632
4 1 -2.103156 -0.603181 -0.4563522
5 1 -1.774738 -0.6767177 -0.2723236
6 1 -1.509727 -0.4521616 0.08061065
7 1 -1.367355 -0.5538889 0.7590405
8 1 -0.98462 -0.6737191 1.472444
9 1 -0.8864039 -0.7721678 2.125389
10 1 -0.3311558 -1.172568 2.886627
11 1 -0.002579221 -1.315201 3.06483
12 1 0.4129051 -0.5767435 3.594618
13 1 0.4661756 0.5577779 4.151567
14 1 0.1980887 0.5463842 4.411427
15 1 -0.1984487 1.393822 4.467579
1 2 -3.35588 -0.455338 -0.499581
2 2 -2.945019 -0.2547446 -0.4198024
3 2 -2.564281 -0.03773143 -0.4775346
4 2 -2.238804 -0.3327877 -0.4804355
5 2 -2.144301 -1.088915 -0.4673274
6 2 -1.78284 -0.733486 -0.1337133
7 2 -1.198722 -0.1686518 0.3398284
8 2 -1.077394 -0.609449 1.593017
9 2 -0.7548976 -1.114484 2.375387
10 2 -0.3018498 -1.269977 2.887209
11 2 0.2886194 -1.210192 3.440883
12 2 0.614167 -0.04185396 3.99285
13 2 0.9777723 0.975753 4.53272
14 2 0.8515864 1.304154 5.156571
15 2 0.4964077 2.028961 5.339666
1 3 -3.530034 -0.6302364 -0.5329814
2 3 -3.114858 -0.3781997 -0.4990207
3 3 -2.669202 -0.0918973 -0.4408904
4 3 -2.337041 -0.2495242 -0.4775081
5 3 -2.076519 -0.6298688 -0.4490445
6 3 -1.719582 -0.42443 -0.03224396
7 3 -0.8691341 0.352336 0.2328614
8 3 -1.05111 -0.5832152 1.772793
9 3 -0.7227171 -1.066075 2.524684
10 3 -0.09757072 -0.8194052 3.031238
11 3 0.6161011 -0.8248438 3.814709
12 3 0.9240828 0.2713163 4.348121
13 3 1.469446 0.9671587 4.571555
14 3 1.150095 1.728582 5.657699
15 3 0.7494459 2.380452 5.672504
1 4 -3.652071 -0.724597 -0.5544319
2 4 -3.27546 -0.452905 -0.5536377
3 4 -2.82863 -0.1062438 -0.4265914
4 4 -2.389549 -0.1511597 -0.5541403
5 4 -1.928963 -0.001147579 -0.4665722
6 4 -1.702036 -0.1557325 -0.1112739
7 4 -0.4843387 1.069166 -0.0464541
8 4 -0.7988074 -0.477693 1.80554
9 4 -0.5696329 -0.9037027 2.575559
10 4 0.2214161 -0.4956005 3.336188
11 4 0.875105 -0.2868557 4.171861
12 4 1.207392 0.361243 4.558291
13 4 1.875607 0.8907607 4.430299
14 4 1.365182 2.253612 5.775058
15 4 0.933515 2.66032 6.150243
1 5 -3.732 -0.7524231 -0.6049878
2 5 -3.432266 -0.5335522 -0.5941864
3 5 -3.016726 -0.1520845 -0.4575832
4 5 -2.516023 -0.1023534 -0.3303316
5 5 -2.114447 0.1183834 -0.6444434
6 5 -1.776687 -0.09316488 -0.2678257
7 5 -0.2635255 0.8910976 0.008866704
8 5 -0.3258802 -0.5280093 2.214184
9 5 -0.05882192 -0.6506361 2.841557
10 5 0.5065103 -0.06963739 3.78156
11 5 1.231839 0.04833984 4.407074
12 5 1.566754 0.5984279 4.702839
13 5 2.383093 0.6484832 4.263822
14 5 1.908836 1.722135 5.505833
15 5 1.099856 2.95371 6.397815
1 6 -3.783424 -0.7397213 -0.6828896
2 6 -3.57537 -0.5945498 -0.5939183
3 6 -3.219455 -0.2841206 -0.4366663
4 6 -2.77519 -0.2717678 -0.1414441
5 6 -2.475964 0.1171144 -0.3494052
6 6 -2.079195 -0.09845892 -0.2845744
7 6 -0.8592651 -0.03717709 0.2915645
8 6 -0.2290409 -0.4459255 2.183696
9 6 0.3142438 -0.2616192 3.229903
10 6 0.9620684 0.3505401 4.092999
11 6 1.469173 0.6266107 4.392731
12 6 2.031399 0.9819856 4.936375
13 6 3.136172 0.8167619 3.872844
14 6 2.064761 2.48176 5.662674
15 6 1.332433 3.625822 6.538148
1 7 -3.846325 -0.8763618 -0.7660968
2 7 -3.691285 -0.7087809 -0.4857129
3 7 -3.568831 -0.7014984 -0.2484123
4 7 -3.180051 -0.8330908 0.1106081
5 7 -2.987843 -0.1439662 -0.1979763
6 7 -2.342024 -0.3788612 -0.3408064
7 7 -1.555154 -0.4262369 0.1907155
8 7 -0.1184601 -0.8298243 2.32757
9 7 1.076215 -0.03598334 4.217565
10 7 1.50813 0.9067219 4.970342
11 7 1.688207 1.145837 4.442524
12 7 2.330005 1.11044 4.699106
13 7 3.575663 1.603207 3.677512
14 7 3.704889 1.110658 4.277011
15 7 1.770486 3.982588 6.652252
