year month land ocean net foss
2015 1 -1.769697 0.5146419 -1.255055 0.1751815
2015 2 -1.947814 0.2397014 -1.708113 0.1842921
2015 3 -1.811682 0.271346 -1.540336 0.1788254
2015 4 -0.9964524 0.2881553 -0.7082971 0.1798009
2015 5 -0.7535466 0.3487107 -0.4048359 0.1759468
2015 6 -0.09225012 0.3868093 0.2945592 0.1825118
2015 7 0.09236534 0.3257605 0.4181258 0.1819633
2015 8 0.6160823 0.395838 1.01192 0.183194
2015 9 2.821924 0.3082523 3.130177 0.1873888
2015 10 3.211308 0.2619129 3.473221 0.1867407
2015 11 1.24234 0.1760354 1.418375 0.1840281
2015 12 0.3959531 0.3152049 0.711158 0.1847741
2016 1 -0.5975808 0.1336218 -0.463959 0.1892095
2016 2 -2.36863 0.2344439 -2.134186 0.1934146
2016 3 -1.949235 -0.07187825 -2.021114 0.1938038
2016 4 -0.721757 -0.04360652 -0.7653635 0.1941332
2016 5 -0.2756347 0.04204981 -0.2335849 0.1906017
2016 6 -0.03294246 0.2289756 0.1960331 0.1974764
2016 7 -0.2331589 0.380407 0.1472481 0.1960993
2016 8 0.4525336 0.4060405 0.8585742 0.1988988
2016 9 0.8515164 0.338832 1.190348 0.2027324
2016 10 1.304698 0.2682679 1.572966 0.201757
2016 11 0.1223766 0.3484034 0.47078 0.1995398
2016 12 -1.034561 0.2863243 -0.7482369 0.1995835
2017 1 -1.479821 0.2326031 -1.247218 0.1824929
2017 2 -1.87425 0.3191037 -1.555146 0.1919889
2017 3 -1.934038 0.3274808 -1.606557 0.1865485
2017 4 -0.9329613 0.3459205 -0.5870408 0.1865296
2017 5 0.003259462 0.3901116 0.3933711 0.1839281
2017 6 0.2581522 0.4495457 0.7076979 0.1900154
2017 7 0.5932221 0.6180705 1.211293 0.1888065
2017 8 1.022525 0.4947586 1.517284 0.191478
2017 9 1.312765 0.3430407 1.655806 0.1947109
2017 10 1.158821 0.2584504 1.417271 0.1944497
2017 11 0.6442822 0.4631661 1.107448 0.1920466
2017 12 -1.274519 0.1435497 -1.13097 0.1916511
2018 1 -2.234364 0.2772675 -1.957096 0.1945313
2018 2 -1.391449 0.4678001 -0.9236489 0.2043066
2018 3 -1.911454 0.4239442 -1.48751 0.1979908
2018 4 -1.142064 0.300276 -0.8417879 0.1987495
2018 5 -0.6849987 0.3876652 -0.2973334 0.1955589
2018 6 -0.4038435 0.5053252 0.1014817 0.2017219
2018 7 0.09027404 0.4619319 0.5522059 0.2011574
2018 8 0.6690248 0.4797084 1.148733 0.2035375
2018 9 1.439062 0.1870386 1.6261 0.2067361
2018 10 1.474702 0.3099128 1.784615 0.207293
2018 11 0.7295538 0.2985445 1.028098 0.2041559
2018 12 -1.037455 0.3706938 -0.6667613 0.2038965
2019 1 -2.555854 0.2938377 -2.262016 0.2046574
2019 2 -1.842021 0.3406832 -1.501338 0.2149966
2019 3 -1.613378 0.3163868 -1.296991 0.2077654
2019 4 -0.9054164 0.3216462 -0.5837701 0.2094837
2019 5 0.01371932 0.3040732 0.3177925 0.205523
2019 6 -0.1128178 0.5037617 0.390944 0.2117857
2019 7 0.2409041 0.4407752 0.6816794 0.2119813
2019 8 0.5035539 0.3873313 0.8908852 0.2136424
2019 9 1.179335 0.2184837 1.397819 0.2178585
2019 10 1.323887 0.1672155 1.491102 0.2180879
2019 11 -0.2972201 0.288957 -0.008263146 0.2143202
2019 12 -0.7988073 0.2688063 -0.5300009 0.2149032
2020 1 -1.93422 0.294912 -1.639308 0.2073572
2020 2 -2.162936 0.3531594 -1.809777 0.2097752
2020 3 -1.759511 0.3252704 -1.434241 0.1876821
2020 4 -0.8523691 0.3103644 -0.5420046 0.1662046
2020 5 -0.1249239 0.2829948 0.1580709 0.1664094
2020 6 0.151545 0.3795641 0.5311091 0.1911064
2020 7 -0.1881654 0.3957513 0.2075859 0.1932679
2020 8 0.566069 0.3918955 0.9579645 0.192101
2020 9 0.9946856 0.2850831 1.279769 0.2020662
2020 10 1.326276 0.2867757 1.613052 0.2007449
2020 11 0.4486372 0.2246339 0.673271 0.194332
2020 12 -0.912824 0.2526462 -0.6601778 0.1998846
