year month land ocean net foss
2015 1 -0.1986668 -0.6237905 -0.8224573 0.007197368
2015 2 -0.1250941 -0.5624848 -0.6875789 0.007698465
2015 3 -0.04338268 -0.5112673 -0.55465 0.00753342
2015 4 0.0457623 -0.656164 -0.6104017 0.007574838
2015 5 0.1438103 -0.5436756 -0.3998652 0.007640349
2015 6 0.2203494 -0.5952214 -0.3748721 0.007911308
2015 7 0.2710326 -0.5281406 -0.257108 0.007931016
2015 8 0.2443869 -0.3732321 -0.1288452 0.007914938
2015 9 0.09229508 -0.4121966 -0.3199015 0.007926407
2015 10 -0.1459422 -0.5353118 -0.681254 0.007687529
2015 11 -0.2594604 -0.6890983 -0.9485586 0.007793063
2015 12 -0.2444656 -0.636661 -0.8811266 0.007658812
2016 1 -0.2094565 -0.5329683 -0.7424248 0.007183963
2016 2 -0.04858877 -0.5241134 -0.5727022 0.007458632
2016 3 -0.03804306 -0.6348577 -0.6729007 0.007546891
2016 4 0.06799183 -0.7529388 -0.684947 0.007556512
2016 5 0.1262253 -0.5220698 -0.3958446 0.007647655
2016 6 0.2092092 -0.7782658 -0.5690566 0.007906728
2016 7 0.2640859 -0.585304 -0.3212182 0.007896701
2016 8 0.2435831 -0.3919197 -0.1483366 0.007936622
2016 9 0.06616299 -0.3511223 -0.2849593 0.007919765
2016 10 -0.1586271 -0.4784652 -0.6370923 0.007671128
2016 11 -0.242834 -0.8177353 -1.060569 0.007805532
2016 12 -0.2479269 -0.8258164 -1.073743 0.007642531
2017 1 -0.1843219 -0.6044236 -0.7887455 0.007161186
2017 2 -0.08721193 -0.5590216 -0.6462335 0.007660753
2017 3 -0.0294566 -0.6148075 -0.6442641 0.007507482
2017 4 -0.004138802 -0.5511802 -0.555319 0.007508606
2017 5 0.1065014 -0.8293028 -0.7228014 0.007625878
2017 6 0.1962337 -0.7338464 -0.5376127 0.007866995
2017 7 0.3010482 -0.6379662 -0.3369181 0.007862321
2017 8 0.1833677 -0.4922431 -0.3088753 0.007900204
2017 9 0.09842521 -0.4860793 -0.3876541 0.007868456
2017 10 -0.1267151 -0.7642161 -0.8909312 0.007645181
2017 11 -0.2762963 -0.6435485 -0.9198449 0.007767406
2017 12 -0.2657004 -0.862919 -1.128619 0.007591334
2018 1 -0.1422062 -0.6364641 -0.7786703 0.00711818
2018 2 -0.067024 -0.5035549 -0.5705789 0.007600518
2018 3 0.002371644 -0.6170153 -0.6146437 0.007436702
2018 4 0.0574698 -0.7030387 -0.6455689 0.007458929
2018 5 0.1254092 -0.6282845 -0.5028753 0.007565897
2018 6 0.2077697 -0.566087 -0.3583173 0.007791045
2018 7 0.2641259 -0.5530531 -0.2889272 0.007809877
2018 8 0.2359329 -0.4000348 -0.164102 0.007833913
2018 9 0.1033423 -0.4533413 -0.349999 0.007793364
2018 10 -0.1179469 -0.5515197 -0.6694666 0.007598292
2018 11 -0.2700008 -0.7032111 -0.9732119 0.007702633
2018 12 -0.2808402 -0.6621439 -0.9429841 0.00753203
2019 1 -0.1391805 -0.6384647 -0.7776452 0.007191666
2019 2 -0.07283822 -0.6215702 -0.6944084 0.007683631
2019 3 -0.00355463 -0.6145922 -0.6181469 0.007498527
2019 4 0.04565851 -0.6336346 -0.5879761 0.007553987
2019 5 0.1220039 -0.642576 -0.5205721 0.007648115
2019 6 0.201405 -0.6290544 -0.4276494 0.007867876
2019 7 0.2684495 -0.5681171 -0.2996676 0.007916437
2019 8 0.2540416 -0.4387697 -0.1847281 0.007908436
2019 9 0.1146109 -0.4287025 -0.3140917 0.007888585
2019 10 -0.1253643 -0.5400502 -0.6654144 0.007678748
2019 11 -0.2305895 -0.7002123 -0.9308018 0.007772733
2019 12 -0.2617958 -0.7176717 -0.9794675 0.007621308
2020 1 -0.1751939 -0.635777 -0.8109709 0.007201528
2020 2 -0.07415536 -0.5977375 -0.6718929 0.007499242
2020 3 -2.624411e-05 -0.6099188 -0.609945 0.006644413
2020 4 0.04368973 -0.6094484 -0.5657586 0.005789635
2020 5 0.112546 -0.6537506 -0.5412046 0.005990527
2020 6 0.2039715 -0.575069 -0.3710975 0.006817772
2020 7 0.2715624 -0.6099013 -0.3383389 0.007004017
2020 8 0.2543412 -0.4477581 -0.1934169 0.006927685
2020 9 0.1130345 -0.4278595 -0.314825 0.007121475
2020 10 -0.1122393 -0.5661368 -0.6783761 0.006800084
2020 11 -0.2488263 -0.7471353 -0.9959616 0.006758659
2020 12 -0.2472525 -0.8798383 -1.127091 0.006767619
