year month land ocean net foss
2015 1 4.756782 -0.2917588 4.465023 1.865727
2015 2 4.294638 -0.2736488 4.020989 1.919316
2015 3 3.370203 -0.2811214 3.089082 1.828884
2015 4 0.9685076 -0.3537458 0.6147619 1.770597
2015 5 -4.799557 -0.3840789 -5.183636 1.703554
2015 6 -10.15217 -0.2936232 -10.4458 1.76214
2015 7 -9.832917 -0.1477896 -9.980707 1.751881
2015 8 -3.923751 -0.008299357 -3.93205 1.744297
2015 9 0.6754267 -0.1293395 0.5460872 1.773223
2015 10 3.52957 -0.3974347 3.132135 1.77434
2015 11 4.921691 -0.5071219 4.414569 1.860989
2015 12 5.096562 -0.4772639 4.619298 1.951653
2016 1 4.788224 -0.2909545 4.497269 1.858563
2016 2 4.208183 -0.2207379 3.987445 1.855693
2016 3 3.23848 -0.2293562 3.009124 1.832372
2016 4 0.4494805 -0.3121737 0.1373068 1.76504
2016 5 -4.948728 -0.3786176 -5.327345 1.705686
2016 6 -10.08075 -0.3154905 -10.39624 1.760806
2016 7 -10.19832 -0.1345733 -10.33289 1.741402
2016 8 -4.420075 -0.01189732 -4.431972 1.749515
2016 9 0.7079552 -0.1312794 0.5766758 1.770474
2016 10 3.772441 -0.4276324 3.344808 1.768081
2016 11 5.173083 -0.5051431 4.66794 1.863973
2016 12 5.335668 -0.3970988 4.93857 1.943733
2017 1 4.933451 -0.3304602 4.602991 1.878454
2017 2 4.474334 -0.253458 4.220876 1.93412
2017 3 3.56359 -0.2815998 3.28199 1.849257
2017 4 0.7920088 -0.3467826 0.4452262 1.778333
2017 5 -5.087267 -0.4315521 -5.518819 1.726968
2017 6 -10.01807 -0.35193 -10.37 1.777415
2017 7 -9.524584 -0.1309996 -9.655583 1.757943
2017 8 -3.961044 -0.02417533 -3.985219 1.766423
2017 9 0.6380034 -0.1358897 0.5021137 1.784025
2017 10 3.274854 -0.3892913 2.885563 1.788801
2017 11 5.242288 -0.4786386 4.763649 1.881976
2017 12 5.222619 -0.4476079 4.775011 1.956501
2018 1 4.793754 -0.460536 4.333218 1.914762
2018 2 4.267494 -0.3519501 3.915544 1.966035
2018 3 3.757008 -0.3325403 3.424467 1.876829
2018 4 0.8809024 -0.4624713 0.4184311 1.811479
2018 5 -5.427971 -0.4188059 -5.846777 1.756987
2018 6 -10.8021 -0.3249161 -11.12701 1.804784
2018 7 -10.73443 -0.1015688 -10.836 1.791907
2018 8 -4.209676 -0.002657512 -4.212333 1.797644
2018 9 1.237478 -0.1129451 1.124533 1.810355
2018 10 3.707756 -0.3674229 3.340333 1.82378
2018 11 5.300232 -0.5408166 4.759416 1.912784
2018 12 5.27318 -0.5678537 4.705326 1.98973
2019 1 4.814336 -0.3460435 4.468292 1.900478
2019 2 4.380704 -0.3380156 4.042689 1.951071
2019 3 3.493341 -0.2679424 3.225398 1.859771
2019 4 0.8834887 -0.3937197 0.489769 1.805875
2019 5 -4.540585 -0.4360524 -4.976638 1.747045
2019 6 -9.718903 -0.3079876 -10.02689 1.791195
2019 7 -10.11818 -0.1053274 -10.22351 1.786867
2019 8 -4.757594 -0.008331019 -4.765925 1.784813
2019 9 0.1357752 -0.1474396 -0.01166437 1.804541
2019 10 3.404259 -0.4110123 2.993247 1.814433
2019 11 5.356945 -0.542602 4.814343 1.898349
2019 12 5.279804 -0.6193513 4.660452 1.982391
2020 1 4.780481 -0.3499454 4.430535 1.809863
2020 2 4.21748 -0.3391669 3.878313 1.764404
2020 3 3.264542 -0.2706964 2.993846 1.658378
2020 4 0.6314384 -0.3985777 0.2328607 1.492923
2020 5 -4.380043 -0.4409026 -4.820946 1.488994
2020 6 -9.191294 -0.3102538 -9.501548 1.663009
2020 7 -10.44892 -0.1048185 -10.55374 1.66342
2020 8 -4.797276 -0.007779824 -4.805056 1.681924
2020 9 1.012296 -0.1500184 0.8622778 1.721973
2020 10 3.94498 -0.4172808 3.527699 1.716814
2020 11 5.159964 -0.5499917 4.609972 1.764036
2020 12 5.15699 -0.6246157 4.532375 1.962919
