year month land ocean net foss
2015 1 -0.3103618 -0.0453277 -0.3556895 0.1607489
2015 2 -0.2234716 -0.04870003 -0.2721716 0.1724682
2015 3 -0.1548011 -0.1491863 -0.3039874 0.1655968
2015 4 0.08207478 -0.3340678 -0.2519931 0.1678315
2015 5 0.5827271 -0.6475203 -0.06479327 0.1674503
2015 6 0.9257261 -0.8735064 0.05221969 0.1737673
2015 7 0.7512806 -0.8917318 -0.1404512 0.1729884
2015 8 0.2449143 -0.872096 -0.6271817 0.1737585
2015 9 -0.5361805 -0.8832927 -1.419473 0.175636
2015 10 -0.7278161 -0.7079508 -1.435767 0.1699916
2015 11 -0.7144174 -0.5131596 -1.227577 0.1726149
2015 12 -0.4003044 -0.3013603 -0.7016647 0.1690444
2016 1 -0.307194 -0.06836198 -0.375556 0.1632465
2016 2 -0.3417165 -0.09202026 -0.4337368 0.1699395
2016 3 -0.2619003 -0.1859127 -0.447813 0.1688405
2016 4 0.2240417 -0.3431822 -0.1191405 0.1703996
2016 5 0.7256241 -0.6442101 0.08141396 0.1706512
2016 6 1.122405 -0.8056372 0.3167674 0.1767913
2016 7 0.8872961 -1.02182 -0.1345237 0.1753164
2016 8 0.1059132 -0.9145943 -0.8086811 0.1774001
2016 9 -0.5795024 -0.7750966 -1.354599 0.1786
2016 10 -0.9628698 -0.7182842 -1.681154 0.1725956
2016 11 -0.8632413 -0.5586434 -1.421885 0.1760005
2016 12 -0.430616 -0.3292696 -0.7598856 0.1716354
2017 1 -0.1614166 -0.1026727 -0.2640892 0.1592635
2017 2 -0.3233401 -0.006040606 -0.3293807 0.1710845
2017 3 -0.2987231 -0.1818359 -0.4805589 0.1644428
2017 4 0.1319335 -0.3368446 -0.2049111 0.1657354
2017 5 0.6288324 -0.6164558 0.0123766 0.1666402
2017 6 0.9030887 -0.8583406 0.04474815 0.1723177
2017 7 0.6980876 -0.987154 -0.2890664 0.1709332
2017 8 0.2497407 -0.9201833 -0.6704426 0.1729941
2017 9 -0.386245 -0.8543297 -1.240575 0.1738551
2017 10 -0.8091675 -0.7027753 -1.511943 0.1685054
2017 11 -0.6666833 -0.4944646 -1.161148 0.1715919
2017 12 -0.4193389 -0.2468883 -0.6662272 0.166917
2018 1 -0.01991979 -0.03386202 -0.05378181 0.1593526
2018 2 0.04507186 -0.01971641 0.02535545 0.1708535
2018 3 0.2783841 -0.1496787 0.1287054 0.1639063
2018 4 0.2065089 -0.3361435 -0.1296346 0.1657366
2018 5 0.7160128 -0.6079649 0.1080478 0.166421
2018 6 1.015527 -0.8393581 0.1761692 0.1717742
2018 7 0.7522112 -0.9769983 -0.224787 0.1709574
2018 8 0.2034197 -0.9117011 -0.7082814 0.1726837
2018 9 -0.5572144 -0.8252787 -1.382493 0.1732778
2018 10 -0.9604152 -0.6531439 -1.613559 0.1686104
2018 11 -0.8680012 -0.4580823 -1.326083 0.1712887
2018 12 -0.4216011 -0.2486004 -0.6702015 0.1666753
2019 1 -0.09753183 -0.03415816 -0.13169 0.1610955
2019 2 -0.06073813 0.02085211 -0.03988602 0.1727969
2019 3 -0.04555129 -0.1485772 -0.1941285 0.1652549
2019 4 0.04217348 -0.3463936 -0.3042202 0.1679252
2019 5 0.5747224 -0.5963357 -0.02161332 0.1682015
2019 6 0.9065656 -0.9101655 -0.003599919 0.1733684
2019 7 0.6667896 -1.019306 -0.3525162 0.1732581
2019 8 0.1427608 -0.9883763 -0.8456155 0.1742695
2019 9 -0.3879179 -0.8486478 -1.236566 0.1754257
2019 10 -0.5815641 -0.7045884 -1.286153 0.1703908
2019 11 -0.3721928 -0.5996161 -0.9718089 0.1728267
2019 12 0.02539731 -0.3955759 -0.3701786 0.1686956
2020 1 0.01537258 -0.03607098 -0.0206984 0.1614705
2020 2 -0.2774002 0.02208149 -0.2553187 0.1689471
2020 3 -0.2494648 -0.1500993 -0.3995642 0.1490196
2020 4 -0.0149638 -0.3513328 -0.3662966 0.1339232
2020 5 0.5367184 -0.6035995 -0.06688109 0.1365979
2020 6 0.9326277 -0.9169338 0.01569394 0.1560638
2020 7 0.7624557 -1.023516 -0.2610602 0.1583059
2020 8 0.2113362 -0.9903545 -0.7790183 0.157154
2020 9 -0.4910075 -0.8504766 -1.341484 0.1631343
2020 10 -0.9171314 -0.7076697 -1.624801 0.1557063
2020 11 -0.7620532 -0.6032816 -1.365335 0.1548743
2020 12 -0.3600954 -0.3979536 -0.758049 0.1546928
